City, State,  Region, Political Leaning
Indianapolis-Carmel-Anderson, IN,  Midwest, RED
Iowa City, IA,  Midwest, RED
Ithaca, NY,  Northeast, BLUE
Jackson, MI,  Midwest, RED
Jackson, MS,  South, RED
Jackson, TN,  South, RED
Jacksonville, FL,  South, RED
Jacksonville, NC,  South, RED
Janesville-Beloit, WI,  Midwest, RED
Jefferson City, MO,  Midwest, RED
Johnson City, TN,  South, RED
Johnstown, PA,  Northeast, RED
Jonesboro, AR,  South, RED
Joplin, MO,  Midwest, RED
Kahului-Wailuku-Lahaina, HI,  West, BLUE
Kalamazoo-Portage, MI,  Midwest, RED
Kankakee, IL,  Midwest, BLUE
Kansas City, MO,  Midwest, RED
Kennewick-Richland, WA,  West, BLUE
Killeen-Temple, TX,  South, RED
Kingsport-Bristol, TN,  South, RED
Kingston, NY,  Northeast, BLUE
Knoxville, TN,  South, RED
Kokomo, IN,  Midwest, RED
La Crosse-Onalaska, WI,  Midwest, RED
Lafayette, LA,  South, RED
Lafayette-West Lafayette, IN,  Midwest, RED
Lake Charles, LA,  South, RED
Lake Havasu City-Kingman, AZ,  West, RED
Lakeland-Winter Haven, FL,  South, RED
Lancaster, PA,  Northeast, RED
Lansing-East Lansing, MI,  Midwest, RED
Laredo, TX,  South, RED
Las Cruces, NM,  West, BLUE
Las Vegas-Henderson-Paradise, NV,  West, BLUE
Lawrence, KS,  Midwest, RED
Lawton, OK,  South, RED
Lebanon, PA,  Northeast, RED
Lewiston, ID,  West, RED
Lewiston-Auburn, ME,  Northeast, BLUE
Lexington-Fayette, KY,  South, RED
Lima, OH,  Midwest, RED
Lincoln, NE,  Midwest, RED
Little Rock-North Little Rock-Conway, AR,  South, RED
Logan, UT,  West, RED
Longview, TX,  South, RED
Longview, WA,  West, BLUE
Los Angeles-Long Beach-Anaheim, CA,  West, BLUE
Louisville/Jefferson County, KY,  South, RED
Lubbock, TX,  South, RED
Lynchburg, VA,  South, BLUE
Macon-Bibb County, GA,  South, RED
Madera, CA,  West, BLUE
Madison, WI,  Midwest, RED
Manchester-Nashua, NH,  Northeast, BLUE
Manhattan, KS,  Midwest, RED
Mankato, MN,  Midwest, BLUE
Mansfield, OH,  Midwest, RED
McAllen-Edinburg-Mission, TX,  South, RED
Medford, OR,  West, BLUE
Memphis, TN,  South, RED
Merced, CA,  West, BLUE
Miami-Fort Lauderdale-Pompano Beach, FL,  South, RED
Michigan City-La Porte, IN,  Midwest, RED
Midland, MI,  Midwest, RED
Midland, TX,  South, RED
Milwaukee-Waukesha, WI,  Midwest, RED
Minneapolis-St. Paul-Bloomington, MN,  Midwest, BLUE
Missoula, MT,  West, RED
Mobile, AL,  South, RED
Modesto, CA,  West, BLUE
Monroe, LA,  South, RED
Monroe, MI,  Midwest, RED
Montgomery, AL,  South, RED
Morgantown, WV,  South, RED
Morristown, TN,  South, RED
Mount Vernon-Anacortes, WA,  West, BLUE
Muncie, IN,  Midwest, RED
Muskegon, MI,  Midwest, RED
Myrtle Beach-Conway-North Myrtle Beach, SC,  South, RED
Napa, CA,  West, BLUE
Naples-Marco Island, FL,  South, RED
Nashville-Davidson--Murfreesboro--Franklin, TN,  South, RED
New Bern, NC,  South, RED
New Haven-Milford, CT,  Northeast, BLUE
New Orleans-Metairie, LA,  South, RED
New York-Newark-Jersey City, NY,  Northeast, BLUE
Niles, MI,  Midwest, RED
North Port-Sarasota-Bradenton, FL,  South, RED
