City, State,  Region, Political Leaning
Picayune, MS,  South, RED
Pierre, SD,  Midwest, RED
Pinehurst-Southern Pines, NC,  South, RED
Pittsburg, KS,  Midwest, RED
Plainview, TX,  South, RED
Platteville, WI,  Midwest, RED
Plattsburgh, NY,  Northeast, BLUE
Plymouth, IN,  Midwest, RED
Point Pleasant, WV,  South, RED
Ponca City, OK,  South, RED
Pontiac, IL,  Midwest, BLUE
Poplar Bluff, MO,  Midwest, RED
Portales, NM,  West, BLUE
Port Angeles, WA,  West, BLUE
Port Lavaca, TX,  South, RED
Portsmouth, OH,  Midwest, RED
Pottsville, PA,  Northeast, RED
Price, UT,  West, RED
Prineville, OR,  West, BLUE
Pullman, WA,  West, BLUE
Quincy, IL,  Midwest, BLUE
Raymondville, TX,  South, RED
Red Bluff, CA,  West, BLUE
Red Wing, MN,  Midwest, BLUE
Rexburg, ID,  West, RED
Richmond, IN,  Midwest, RED
Richmond-Berea, KY,  South, RED
Rio Grande City-Roma, TX,  South, RED
Riverton, WY,  West, RED
Roanoke Rapids, NC,  South, RED
Rochelle, IL,  Midwest, BLUE
Rockingham, NC,  South, RED
Rockport, TX,  South, RED
Rock Springs, WY,  West, RED
Rolla, MO,  Midwest, RED
Roseburg, OR,  West, BLUE
Roswell, NM,  West, BLUE
Ruidoso, NM,  West, BLUE
Russellville, AR,  South, RED
Ruston, LA,  South, RED
Rutland, VT,  Northeast, BLUE
Safford, AZ,  West, RED
St. Marys, GA,  South, RED
St. Marys, PA,  Northeast, RED
Salem, OH,  Midwest, RED
Salina, KS,  Midwest, RED
Sandpoint, ID,  West, RED
Sandusky, OH,  Midwest, RED
Sanford, NC,  South, RED
Sault Ste. Marie, MI,  Midwest, RED
Sayre, PA,  Northeast, RED
Scottsbluff, NE,  Midwest, RED
Scottsboro, AL,  South, RED
Scottsburg, IN,  Midwest, RED
Searcy, AR,  South, RED
Sedalia, MO,  Midwest, RED
Selinsgrove, PA,  Northeast, RED
Selma, AL,  South, RED
Seneca, SC,  South, RED
Seneca Falls, NY,  Northeast, BLUE
Sevierville, TN,  South, RED
Seymour, IN,  Midwest, RED
Shawano, WI,  Midwest, RED
Shawnee, OK,  South, RED
Shelby, NC,  South, RED
Shelbyville, TN,  South, RED
Shelton, WA,  West, BLUE
Sheridan, WY,  West, RED
Show Low, AZ,  West, RED
Sidney, OH,  Midwest, RED
Sikeston, MO,  Midwest, RED
Silver City, NM,  West, BLUE
Snyder, TX,  South, RED
Somerset, KY,  South, RED
Somerset, PA,  Northeast, RED
Sonora, CA,  West, BLUE
Spearfish, SD,  Midwest, RED
Spencer, IA,  Midwest, RED
Spirit Lake, IA,  Midwest, RED
Starkville, MS,  South, RED
Statesboro, GA,  South, RED
Steamboat Springs, CO,  West, BLUE
Stephenville, TX,  South, RED
Sterling, CO,  West, BLUE
Sterling, IL,  Midwest, BLUE
Stevens Point, WI,  Midwest, RED
Stillwater, OK,  South, RED
Storm Lake, IA,  Midwest, RED
Sturgis, MI,  Midwest, RED
Sulphur Springs, TX,  South, RED
Summerville, GA,  South, RED
Sunbury, PA,  Northeast, RED
Susanville, CA,  West, BLUE
Sweetwater, TX,  South, RED
Tahlequah, OK,  South, RED
Talladega-Sylacauga, AL,  South, RED
Taos, NM,  West, BLUE
Taylorville, IL,  Midwest, BLUE
The Dalles, OR,  West, BLUE
Thomaston, GA,  South, RED
Thomasville, GA,  South, RED
Tiffin, OH,  Midwest, RED
Tifton, GA,  South, RED
Toccoa, GA,  South, RED
Torrington, CT,  Northeast, BLUE
Traverse City, MI,  Midwest, RED
Troy, AL,  South, RED
Truckee-Grass Valley, CA,  West, BLUE
Tullahoma-Manchester, TN,  South, RED
Tupelo, MS,  South, RED
Ukiah, CA,  West, BLUE
Union, SC,  South, RED
Union City, TN,  South, RED
Urbana, OH,  Midwest, RED
Uvalde, TX,  South, RED
Van Wert, OH,  Midwest, RED
Vermillion, SD,  Midwest, RED
Vernal, UT,  West, RED
Vernon, TX,  South, RED
Vicksburg, MS,  South, RED
Vidalia, GA,  South, RED
Vincennes, IN,  Midwest, RED
Vineyard Haven, MA,  Northeast, BLUE
Wabash, IN,  Midwest, RED
Wahpeton, ND,  Midwest, RED
Wapakoneta, OH,  Midwest, RED
Warren, PA,  Northeast, RED
Warrensburg, MO,  Midwest, RED
Warsaw, IN,  Midwest, RED
Washington, IN,  Midwest, RED
Washington, NC,  South, RED
Washington Court House, OH,  Midwest, RED
Watertown, SD,  Midwest, RED
Watertown-Fort Atkinson, WI,  Midwest, RED
Wauchula, FL,  South, RED
Waycross, GA,  South, RED
Weatherford, OK,  South, RED
West Plains, MO,  Midwest, RED
West Point, MS,  South, RED
Whitewater, WI,  Midwest, RED
Williston, ND,  Midwest, RED
Willmar, MN,  Midwest, BLUE
Wilmington, OH,  Midwest, RED
Wilson, NC,  South, RED
Winfield, KS,  Midwest, RED
Winnemucca, NV,  West, BLUE
Winona, MN,  Midwest, BLUE
Wisconsin Rapids-Marshfield, WI,  Midwest, RED
Woodward, OK,  South, RED
Wooster, OH,  Midwest, RED
Worthington, MN,  Midwest, BLUE
Yankton, SD,  Midwest, RED
Zanesville, OH,  Midwest, RED
Zapata, TX,  South, RED
