Index, City, State,  Region, Political Leaning
690, Mason City, IA,  Midwest, RED
691, Mayfield, KY,  South, RED
692, Maysville, KY,  South, RED
693, McAlester, OK,  South, RED
694, McComb, MS,  South, RED
695, McMinnville, TN,  South, RED
696, McPherson, KS,  Midwest, RED
697, Meadville, PA,  Northeast, RED
698, Menomonie, WI,  Midwest, RED
699, Meridian, MS,  South, RED
700, Mexico, MO,  Midwest, RED
701, Miami, OK,  South, RED
702, Middlesborough, KY,  South, RED
703, Milledgeville, GA,  South, RED
704, Minden, LA,  South, RED
705, Mineral Wells, TX,  South, RED
706, Minot, ND,  Midwest, RED
707, Mitchell, SD,  Midwest, RED
708, Moberly, MO,  Midwest, RED
709, Montrose, CO,  West, BLUE
710, Morehead City, NC,  South, RED
711, Morgan City, LA,  South, RED
712, Moscow, ID,  West, RED
713, Moses Lake, WA,  West, BLUE
714, Moultrie, GA,  South, RED
715, Mountain Home, AR,  South, RED
716, Mountain Home, ID,  West, RED
717, Mount Airy, NC,  South, RED
718, Mount Gay-Shamrock, WV,  South, RED
719, Mount Pleasant, MI,  Midwest, RED
720, Mount Pleasant, TX,  South, RED
721, Mount Sterling, KY,  South, RED
722, Mount Vernon, IL,  Midwest, BLUE
723, Mount Vernon, OH,  Midwest, RED
724, Murray, KY,  South, RED
725, Muscatine, IA,  Midwest, RED
726, Muskogee, OK,  South, RED
727, Nacogdoches, TX,  South, RED
728, Natchez, MS,  South, RED
729, Natchitoches, LA,  South, RED
730, Newberry, SC,  South, RED
731, New Castle, IN,  Midwest, RED
732, New Castle, PA,  Northeast, RED
733, New Philadelphia-Dover, OH,  Midwest, RED
734, Newport, OR,  West, BLUE
735, Newport, TN,  South, RED
736, New Ulm, MN,  Midwest, BLUE
737, Nogales, AZ,  West, RED
738, Norfolk, NE,  Midwest, RED
739, North Platte, NE,  Midwest, RED
740, North Vernon, IN,  Midwest, RED
741, North Wilkesboro, NC,  South, RED
742, Norwalk, OH,  Midwest, RED
743, Oak Harbor, WA,  West, BLUE
744, Ogdensburg-Massena, NY,  Northeast, BLUE
745, Oil City, PA,  Northeast, RED
746, Okeechobee, FL,  South, RED
747, Olean, NY,  Northeast, BLUE
748, Oneonta, NY,  Northeast, BLUE
749, Ontario, OR,  West, BLUE
750, Opelousas, LA,  South, RED
751, Orangeburg, SC,  South, RED
752, Oskaloosa, IA,  Midwest, RED
753, Othello, WA,  West, BLUE
754, Ottawa, IL,  Midwest, BLUE
755, Ottawa, KS,  Midwest, RED
756, Ottumwa, IA,  Midwest, RED
757, Owatonna, MN,  Midwest, BLUE
758, Oxford, MS,  South, RED
759, Ozark, AL,  South, RED
760, Paducah, KY,  South, RED
761, Pahrump, NV,  West, BLUE
762, Palatka, FL,  South, RED
763, Palestine, TX,  South, RED
764, Pampa, TX,  South, RED
765, Paragould, AR,  South, RED
766, Paris, TN,  South, RED
767, Paris, TX,  South, RED
768, Parsons, KS,  Midwest, RED
769, Payson, AZ,  West, RED
770, Pearsall, TX,  South, RED
771, Pecos, TX,  South, RED
772, Pella, IA,  Midwest, RED
773, Peru, IN,  Midwest, RED
774, Picayune, MS,  South, RED
775, Pierre, SD,  Midwest, RED
776, Pinehurst-Southern Pines, NC,  South, RED
777, Pittsburg, KS,  Midwest, RED
778, Plainview, TX,  South, RED
779, Platteville, WI,  Midwest, RED
780, Plattsburgh, NY,  Northeast, BLUE
781, Plymouth, IN,  Midwest, RED
782, Point Pleasant, WV,  South, RED
783, Ponca City, OK,  South, RED
784, Pontiac, IL,  Midwest, BLUE
785, Poplar Bluff, MO,  Midwest, RED
786, Portales, NM,  West, BLUE
787, Port Angeles, WA,  West, BLUE
788, Port Lavaca, TX,  South, RED
789, Portsmouth, OH,  Midwest, RED
790, Pottsville, PA,  Northeast, RED
791, Price, UT,  West, RED
792, Prineville, OR,  West, BLUE
793, Pullman, WA,  West, BLUE
794, Quincy, IL,  Midwest, BLUE
795, Raymondville, TX,  South, RED
796, Red Bluff, CA,  West, BLUE
797, Red Wing, MN,  Midwest, BLUE
798, Rexburg, ID,  West, RED
799, Richmond, IN,  Midwest, RED
800, Richmond-Berea, KY,  South, RED
801, Rio Grande City-Roma, TX,  South, RED
802, Riverton, WY,  West, RED
803, Roanoke Rapids, NC,  South, RED
804, Rochelle, IL,  Midwest, BLUE
805, Rockingham, NC,  South, RED
806, Rockport, TX,  South, RED
807, Rock Springs, WY,  West, RED
808, Rolla, MO,  Midwest, RED
809, Roseburg, OR,  West, BLUE
810, Roswell, NM,  West, BLUE
811, Ruidoso, NM,  West, BLUE
812, Russellville, AR,  South, RED
813, Ruston, LA,  South, RED
814, Rutland, VT,  Northeast, BLUE
815, Safford, AZ,  West, RED
816, St. Marys, GA,  South, RED
817, St. Marys, PA,  Northeast, RED
818, Salem, OH,  Midwest, RED
819, Salina, KS,  Midwest, RED
820, Sandpoint, ID,  West, RED
821, Sandusky, OH,  Midwest, RED
822, Sanford, NC,  South, RED
823, Sault Ste. Marie, MI,  Midwest, RED
824, Sayre, PA,  Northeast, RED
825, Scottsbluff, NE,  Midwest, RED
826, Scottsboro, AL,  South, RED
827, Scottsburg, IN,  Midwest, RED
828, Searcy, AR,  South, RED
829, Sedalia, MO,  Midwest, RED
830, Selinsgrove, PA,  Northeast, RED
831, Selma, AL,  South, RED
832, Seneca, SC,  South, RED
833, Seneca Falls, NY,  Northeast, BLUE
834, Sevierville, TN,  South, RED
835, Seymour, IN,  Midwest, RED
836, Shawano, WI,  Midwest, RED
837, Shawnee, OK,  South, RED
838, Shelby, NC,  South, RED
839, Shelbyville, TN,  South, RED
840, Shelton, WA,  West, BLUE
841, Sheridan, WY,  West, RED
842, Show Low, AZ,  West, RED
843, Sidney, OH,  Midwest, RED
844, Sikeston, MO,  Midwest, RED
845, Silver City, NM,  West, BLUE
846, Snyder, TX,  South, RED
847, Somerset, KY,  South, RED
848, Somerset, PA,  Northeast, RED
849, Sonora, CA,  West, BLUE
850, Spearfish, SD,  Midwest, RED
851, Spencer, IA,  Midwest, RED
852, Spirit Lake, IA,  Midwest, RED
853, Starkville, MS,  South, RED
854, Statesboro, GA,  South, RED
855, Steamboat Springs, CO,  West, BLUE
856, Stephenville, TX,  South, RED
857, Sterling, CO,  West, BLUE
858, Sterling, IL,  Midwest, BLUE
859, Stevens Point, WI,  Midwest, RED
860, Stillwater, OK,  South, RED
861, Storm Lake, IA,  Midwest, RED
862, Sturgis, MI,  Midwest, RED
863, Sulphur Springs, TX,  South, RED
864, Summerville, GA,  South, RED
865, Sunbury, PA,  Northeast, RED
866, Susanville, CA,  West, BLUE
867, Sweetwater, TX,  South, RED
868, Tahlequah, OK,  South, RED
869, Talladega-Sylacauga, AL,  South, RED
870, Taos, NM,  West, BLUE
871, Taylorville, IL,  Midwest, BLUE
872, The Dalles, OR,  West, BLUE
873, Thomaston, GA,  South, RED
874, Thomasville, GA,  South, RED
875, Tiffin, OH,  Midwest, RED
876, Tifton, GA,  South, RED
877, Toccoa, GA,  South, RED
878, Torrington, CT,  Northeast, BLUE
879, Traverse City, MI,  Midwest, RED
880, Troy, AL,  South, RED
881, Truckee-Grass Valley, CA,  West, BLUE
882, Tullahoma-Manchester, TN,  South, RED
883, Tupelo, MS,  South, RED
884, Ukiah, CA,  West, BLUE
885, Union, SC,  South, RED
886, Union City, TN,  South, RED
887, Urbana, OH,  Midwest, RED
888, Uvalde, TX,  South, RED
889, Van Wert, OH,  Midwest, RED
890, Vermillion, SD,  Midwest, RED
891, Vernal, UT,  West, RED
892, Vernon, TX,  South, RED
893, Vicksburg, MS,  South, RED
894, Vidalia, GA,  South, RED
895, Vincennes, IN,  Midwest, RED
896, Vineyard Haven, MA,  Northeast, BLUE
897, Wabash, IN,  Midwest, RED
898, Wahpeton, ND,  Midwest, RED
899, Wapakoneta, OH,  Midwest, RED
900, Warren, PA,  Northeast, RED
901, Warrensburg, MO,  Midwest, RED
902, Warsaw, IN,  Midwest, RED
903, Washington, IN,  Midwest, RED
904, Washington, NC,  South, RED
905, Washington Court House, OH,  Midwest, RED
906, Watertown, SD,  Midwest, RED
907, Watertown-Fort Atkinson, WI,  Midwest, RED
908, Wauchula, FL,  South, RED
909, Waycross, GA,  South, RED
910, Weatherford, OK,  South, RED
911, West Plains, MO,  Midwest, RED
912, West Point, MS,  South, RED
913, Whitewater, WI,  Midwest, RED
914, Williston, ND,  Midwest, RED
915, Willmar, MN,  Midwest, BLUE
916, Wilmington, OH,  Midwest, RED
917, Wilson, NC,  South, RED
918, Winfield, KS,  Midwest, RED
919, Winnemucca, NV,  West, BLUE
920, Winona, MN,  Midwest, BLUE
921, Wisconsin Rapids-Marshfield, WI,  Midwest, RED
922, Woodward, OK,  South, RED
923, Wooster, OH,  Midwest, RED
924, Worthington, MN,  Midwest, BLUE
925, Yankton, SD,  Midwest, RED
926, Zanesville, OH,  Midwest, RED
927, Zapata, TX,  South, RED
