Index,  Total Population Change - Decade,  Natural Increase - Decade,  Births - Decade,  Deaths - Decade,  Total - Decade,  International - Decade,  Domestic - Decade,  Total Population Change - Annual,  Natural Increase - Annual,  Births - Annual,  Deaths - Annual,  Total - Annual,  International - Annual,  Domestic - Annual
134, -3798, -1334, 10739, 12073, -2387, 350, -2737, -341, -281, 1074, 1355, -53, 30, -83
135, 470, 4411, 15461, 11050, -3928, 2638, -6566, -106, 224, 1608, 1384, -328, 214, -542
136, 2351, 5350, 13041, 7691, -3007, 1946, -4953, -951, 525, 1395, 870, -1481, 96, -1577
137, 2809, 4006, 10352, 6346, -1166, 2408, -3574, 77, 448, 1111, 663, -370, 208, -578
138, 7477, 3078, 16342, 13264, 4431, -173, 4604, 1259, 116, 1631, 1515, 1137, -13, 1150
139, 83707, 55687, 125556, 69869, 28532, 17629, 10903, 6000, 5392, 13339, 7947, 647, 1316, -669
140, 4768, -3219, 7810, 11029, 7981, -140, 8121, 337, -324, 866, 1190, 667, -26, 693
141, 40, 2825, 10524, 7699, -2753, 759, -3512, -322, 269, 1054, 785, -589, 6, -595
142, 71665, 22092, 37587, 15495, 49035, 2484, 46551, 9677, 2504, 4360, 1856, 7141, 363, 6778
143, 16665, 13646, 36179, 22533, 3288, 3355, -67, 1522, 1359, 3759, 2400, 171, 178, -7
144, 47928, 17401, 79920, 62519, 31027, 12830, 18197, 5378, 1171, 8520, 7349, 4239, 1182, 3057
145, 12566, 7944, 19462, 11518, 4658, 1371, 3287, 1167, 621, 2053, 1432, 545, 101, 444
146, 96446, 21138, 96861, 75723, 75133, 13917, 61216, 13449, 1764, 10516, 8752, 11656, 1825, 9831
147, 29074, 10483, 46703, 36220, 18654, 5595, 13059, 2979, 758, 4842, 4084, 2219, 173, 2046
148, 18958, 4626, 29793, 25167, 14324, 1742, 12582, 2382, 279, 3174, 2895, 2108, 14, 2094
149, 13649, 6635, 17863, 11228, 7015, 508, 6507, 921, 570, 1953, 1383, 351, 1, 350
150, -34, 14271, 21880, 7609, -14649, 695, -15344, 1558, 1434, 2321, 887, 123, -74, 197
151, 28497, 11803, 60274, 48471, 17028, 14620, 2408, 3792, 1071, 6430, 5359, 2749, 1084, 1665
152, 9743, 4037, 13181, 9144, 5728, 4229, 1499, 215, 380, 1435, 1055, -169, 257, -426
153, -7594, 13025, 110209, 97184, -20759, 47395, -68154, -1262, 633, 11508, 10875, -1910, 4140, -6050
154, 6431, 6332, 20737, 14405, 32, 1356, -1324, 557, 609, 2158, 1549, -54, 190, -244
155, 3917, -1716, 34817, 36533, 5910, 2924, 2986, 1262, -424, 3691, 4115, 1703, 356, 1347
156, 35185, 5746, 21847, 16101, 29093, 3536, 25557, 4172, 266, 2289, 2023, 3884, 244, 3640
157, 3065, 11489, 15546, 4057, -8903, 2563, -11466, 1297, 1134, 1631, 497, 165, -44, 209
158, 8427, -13385, 9689, 23074, 21756, 331, 21425, 1975, -1640, 1066, 2706, 3601, -18, 3619
159, 3387, -2502, 10186, 12688, 5924, -10, 5934, 420, -276, 1071, 1347, 699, -27, 726
160, -110, 8581, 26337, 17756, -8622, 1553, -10175, -1069, 591, 2623, 2032, -1659, 49, -1708
161, 1145654, 540027, 889610, 349583, 602610, 333553, 269057, 89994, 52016, 95261, 43245, 37893, 30746, 7147
162, -15026, -3285, 37621, 40906, -11546, 359, -11905, -3196, -808, 3608, 4416, -2388, -70, -2318
163, 54231, 13388, 47880, 34492, 40771, 4833, 35938, 8643, 1087, 5256, 4169, 7528, 262, 7266
164, 18199, 13197, 22463, 9266, 5038, 222, 4816, 3094, 1350, 2402, 1052, 1741, -34, 1775
165, 186462, 97491, 246099, 148608, 89578, 43502, 46076, 22169, 9622, 26300, 16678, 12590, 6394, 6196
166, 20519, 10606, 19234, 8628, 9929, 7862, 2067, 498, 1015, 2005, 990, -520, 477, -997
167, 588, 1506, 7735, 6229, -981, 6686, -7667, -239, 106, 742, 636, -350, 447, -797
168, -1723, 1215, 16506, 15291, -2843, 698, -3541, -56, 120, 1743, 1623, -170, 30, -200
169, 7691, 21259, 70872, 49613, -13741, 4965, -18706, -2570, 1480, 7091, 5611, -4062, 457, -4519
170, -1067, 1711, 20312, 18601, -2675, 730, -3405, 329, 123, 2101, 1978, 214, 92, 122
171, 213920, 52866, 167526, 114660, 160572, 34089, 126483, 26851, 4503, 18592, 14089, 22302, 2251, 20051
172, 20137, 29255, 38784, 9529, -10285, 7624, -17909, 1023, 2857, 3951, 1094, -1815, -2, -1813
173, 3029, 4270, 17881, 13611, -1131, 397, -1528, 480, 406, 1877, 1471, 81, 39, 42
174, 1415, 4291, 16332, 12041, -2813, 962, -3775, -277, 264, 1680, 1416, -540, 88, -628
175, 4892, -3314, 18323, 21637, 8285, 1307, 6978, 749, -537, 1869, 2406, 1291, 200, 1091
176, -13503, -4708, 12304, 17012, -8837, 384, -9221, -1257, -509, 1218, 1727, -745, 29, -774
177, 12841, 4763, 16354, 11591, 8072, 1239, 6833, 1141, 402, 1766, 1364, 739, 43, 696
178, 4055, 5310, 22013, 16703, -1152, 1212, -2364, 951, 424, 2235, 1811, 532, 106, 426
179, 12577, 7138, 18012, 10874, 5518, 6138, -620, 445, 388, 1834, 1446, 65, 582, -517
180, 14739, 9446, 28774, 19328, 5485, 4483, 1002, 386, 801, 3010, 2209, -412, 303, -715
181, -3588, 1946, 12271, 10325, -5547, 530, -6077, -91, 73, 1240, 1167, -163, 29, -192
182, 148635, 98218, 253384, 155166, 51716, 27259, 24457, 13563, 8805, 26497, 17692, 4814, 2377, 2437
183, 46284, 23159, 39288, 16129, 23058, 3571, 19487, 4323, 2224, 4151, 1927, 2100, 316, 1784
184, 54995, 43397, 68686, 25289, 11142, 13598, -2456, 9031, 4057, 7039, 2982, 4937, 125, 4812
185, -2291, -9185, 26943, 36128, 7135, -122, 7257, 466, -1151, 2776, 3927, 1627, -19, 1646
186, -4946, -1139, 14405, 15544, -3751, 2456, -6207, -845, -310, 1433, 1743, -529, 148, -677
187, 54021, 1643, 84244, 82601, 52546, 7094, 45452, 7812, -260, 8995, 9255, 8067, 985, 7082
188, -204, 153, 9085, 8932, -290, 341, -631, 287, -4, 946, 950, 298, 37, 261
189, 2958, 2447, 13220, 10773, 572, 341, 231, 3, 171, 1364, 1193, -160, -11, -149
190, 22474, 23870, 62244, 38374, -1317, 4234, -5551, -473, 1726, 6331, 4605, -2196, 222, -2418
191, 22692, 10837, 24792, 13955, 11914, 15527, -3613, 2064, 1057, 2617, 1560, 999, 2091, -1092
192, 10769, 7932, 26736, 18804, 2976, 1153, 1823, 219, 867, 2983, 2116, -647, 54, -701
193, 11999, -9685, 16886, 26571, 21585, -1496, 23081, 2889, -1623, 1752, 3375, 4478, -246, 4724
194, 122704, 9786, 69821, 60035, 112597, 23260, 89337, 18180, 806, 8043, 7237, 17311, 673, 16638
195, 26281, 20139, 65415, 45276, 6589, 11759, -5170, 1755, 1972, 7132, 5160, -205, 647, -852
196, 15707, 14093, 54679, 40586, 1625, 19865, -18240, 1717, 1125, 5702, 4577, 612, 1452, -840
197, 26348, 36433, 48554, 12121, -10078, 7043, -17121, 1532, 3357, 4735, 1378, -1831, 377, -2208
198, 8978, 12954, 27022, 14068, -4004, 2240, -6244, 917, 1015, 2630, 1615, -96, 128, -224
199, 315447, 105372, 247787, 142415, 208889, 23319, 185570, 40600, 9129, 27048, 17919, 31283, -360, 31643
200, 11433, 4907, 11149, 6242, 6564, 5122, 1442, 1150, 420, 1107, 687, 729, 387, 342
201, -3873, 7691, 17852, 10161, -11769, 2831, -14600, 67, 523, 1693, 1170, -454, 56, -510
202, 8196, 1613, 15092, 13479, 6716, 4877, 1839, 454, 77, 1581, 1504, 384, 124, 260
203, 2097, -293, 6567, 6860, 2421, -204, 2625, 118, -38, 680, 718, 161, -47, 208
204, 568, 1802, 11771, 9969, -1187, 1143, -2330, 363, 124, 1208, 1084, 242, 92, 150
205, 44953, 21545, 57894, 36349, 23522, 11848, 11674, 2118, 1933, 6086, 4153, 195, 259, -64
206, -3962, 1560, 11697, 10137, -5522, 175, -5697, -374, 135, 1214, 1079, -509, -8, -501
207, 34217, 18243, 38980, 20737, 16106, 8917, 7189, 2574, 1770, 4077, 2307, 814, 808, 6
208, 42594, 28130, 88569, 60439, 14662, 7696, 6966, 2303, 2179, 9010, 6831, 143, 168, -25
209, 16723, 17562, 23357, 5795, -854, 2240, -3094, 2061, 1730, 2396, 666, 330, 233, 97
210, 6650, 7553, 34504, 26951, -805, 1888, -2693, 1342, 362, 3364, 3002, 992, 46, 946
211, 8185, 1106, 11376, 10270, 7099, 265, 6834, 1841, 153, 1287, 1134, 1686, 22, 1664
212, 385842, 753642, 1500780, 747138, -362998, 377442, -740440, -35080, 59687, 149369, 89682, -94938, 27228, -122166
213, 62422, 31671, 141702, 110031, 31536, 20169, 11367, 3085, 2852, 14990, 12138, 278, 671, -393
214, 31368, 15696, 38925, 23229, 15616, 3403, 12213, 3018, 1354, 4068, 2714, 1666, 252, 1414
215, 10912, 1841, 26279, 24438, 9174, 3531, 5643, 673, 40, 2844, 2804, 643, 267, 376
216, -2249, 4907, 27200, 22293, -7136, 1769, -8905, 402, 41, 2694, 2653, 378, 143, 235
217, 6493, 11128, 20999, 9871, -4704, -383, -4321, 445, 1048, 2108, 1060, -603, -139, -464
218, 59399, 28060, 67559, 39499, 31480, 15600, 15880, 4938, 2535, 6988, 4453, 2406, 988, 1418
219, 16319, 9873, 39447, 29574, 6672, 13569, -6897, 2395, 758, 4148, 3390, 1652, 1002, 650
220, 3191, 15192, 21877, 6685, -12490, 7782, -20272, -1413, 1310, 2052, 742, -2728, 446, -3174
221, 5185, 3828, 10317, 6489, 1386, 1510, -124, 350, 339, 1068, 729, 12, 137, -125
222, -3320, -161, 12743, 12904, -3129, 238, -3367, 167, -78, 1319, 1397, 251, 11, 240
223, 93943, 105539, 143366, 37827, -11366, 11748, -23114, 6409, 9457, 14054, 4597, -3056, -18, -3038
224, 17740, 44, 21343, 21299, 17697, -141, 17838, 1533, -74, 2251, 2325, 1611, -41, 1652
225, 29943, 64370, 170921, 106551, -34521, 13637, -48158, 3548, 5367, 17720, 12353, -1816, 1656, -3472
226, 21884, 23063, 38618, 15555, -1110, 463, -1573, 3529, 2299, 4086, 1787, 1237, -144, 1381
227, 600214, 178095, 626897, 448802, 422703, 615283, -192580, 22651, 14384, 67565, 53181, 8204, 58819, -50615
228, -1578, 1109, 12075, 10966, -2616, 81, -2697, -93, 33, 1248, 1215, -120, 7, -127
229, -465, 1232, 7933, 6701, -1688, 1160, -2848, -67, 112, 855, 743, -177, 64, -241
230, 40932, 15880, 26136, 10256, 24557, 3307, 21250, 4417, 1894, 3084, 1190, 2509, 328, 2181
231, 19225, 59009, 182815, 123806, -39097, 25298, -64395, 1184, 5117, 18927, 13810, -3863, 1277, -5140
232, 306415, 209124, 419634, 210510, 99485, 87847, 11638, 29982, 20312, 44602, 24290, 9847, 6645, 3202
233, 10304, 3212, 11126, 7914, 7109, 1271, 5838, 960, 244, 1131, 887, 715, 112, 603
234, -1183, 11538, 53087, 41549, -12486, 4885, -17371, -774, 841, 5608, 4767, -1606, 280, -1886
235, 36210, 32649, 70420, 37771, 3879, 4607, -728, 2534, 3076, 7393, 4317, -535, 144, -679
236, -4226, 6291, 26371, 20080, -10438, 779, -11217, -1877, 363, 2606, 2243, -2241, 44, -2285
237, -1531, 841, 14053, 13212, -2352, 285, -2637, 326, -22, 1459, 1481, 359, -10, 369
238, -1250, 12067, 44789, 32722, -13366, 4233, -17599, 268, 1063, 4730, 3667, -792, 329, -1121
239, 9342, 3498, 13166, 9668, 5765, 3321, 2444, -160, 285, 1380, 1095, -440, -26, -414
240, 5891, -1020, 13994, 15014, 6971, 839, 6132, 971, -213, 1475, 1688, 1184, 72, 1112
241, 12313, 2574, 13426, 10852, 9769, 1610, 8159, 1370, 166, 1431, 1265, 1200, 170, 1030
242, -3535, -272, 11071, 11343, -3241, 1422, -4663, -162, -106, 1081, 1187, -53, 180, -233
243, 1372, 3782, 19514, 15732, -2385, 547, -2932, -33, 301, 2071, 1770, -330, 32, -362
244, 120326, -3999, 38280, 42279, 122581, 2288, 120293, 15916, -1429, 4188, 5617, 17201, 257, 16944
245, 1209, 1784, 13062, 11278, -469, 1157, -1626, -1045, -44, 1235, 1279, -998, -13, -985
246, 63380, 109, 29806, 29697, 63056, 20167, 42889, 6701, -707, 3160, 3867, 7391, 1906, 5485
247, 288134, 88741, 216969, 128228, 197758, 39422, 158336, 29591, 9186, 24308, 15122, 20419, 4937, 15482
248, -2524, 3352, 15570, 12218, -5909, 2182, -8091, -300, 200, 1510, 1310, -491, 20, -511
249, -7685, 10560, 81952, 71392, -18293, 32843, -51136, -2214, 625, 8512, 7887, -2858, 2740, -5598
250, 80639, 43608, 145792, 102184, 36032, 20800, 15232, 397, 2990, 15084, 12094, -2550, 1682, -4232
251, 319905, 932102, 2218113, 1286011, -611662, 837005, -1448667, -60462, 76764, 228660, 151896, -137415, 58630, -196045
252, -3407, 733, 16572, 15839, -4107, 3175, -7282, -389, 8, 1696, 1688, -392, 216, -608
253, 134683, -26920, 58378, 85298, 160197, 17686, 142511, 16279, -4144, 6317, 10461, 20333, 1434, 18899
254, -8864, 2357, 24643, 22286, -11261, 6111, -17372, -1079, -19, 2502, 2521, -1059, 326, -1385
255, 34280, -12786, 31649, 44435, 46967, 4122, 42845, 6517, -1667, 3495, 5162, 8151, 15, 8136
256, -5218, -4081, 7966, 12047, -1037, 1060, -2097, -407, -565, 734, 1299, 166, -15, 181
257, 29087, 15113, 26048, 10935, 13561, 2296, 11265, 4263, 1687, 2915, 1228, 2562, 238, 2324
258, 86702, 63341, 98076, 34735, 23625, 4772, 18853, 10204, 6365, 10133, 3768, 3835, 433, 3402
259, 155948, 65613, 171439, 105826, 89914, 24684, 65230, 15345, 5539, 17576, 12037, 9812, 1778, 8034
260, 38276, 9076, 28792, 19716, 29233, 4982, 24251, 4480, 758, 3135, 2377, 3713, 362, 3351
261, 84095, 60276, 122306, 62030, 24322, 16785, 7537, 8472, 5917, 12848, 6931, 2585, 1517, 1068
262, 473748, 103875, 259676, 155801, 368588, 181996, 186592, 33309, 10064, 29522, 19458, 23227, 9517, 13710
263, 4907, 3727, 17264, 13537, 1311, 1101, 210, 1029, 286, 1783, 1497, 748, 65, 683
264, 4694, 2968, 14338, 11370, 1824, 1091, 733, 561, 282, 1516, 1234, 283, 42, 241
265, 22608, 41771, 93266, 51495, -18720, 7250, -25970, -2136, 2920, 9161, 6241, -5053, 140, -5193
266, 58570, -15771, 47809, 63580, 74263, 9438, 64825, 6739, -2210, 5258, 7468, 8938, 429, 8509
267, 5855, 3934, 20996, 17062, 1770, 3938, -2168, -11535, 233, 2222, 1989, -11803, 277, -12080
268, -3328, -1046, 9349, 10395, -2196, -122, -2074, -652, -216, 916, 1132, -437, -24, -413
269, 53638, 10215, 53258, 43043, 43221, 6040, 37181, 8230, 547, 5775, 5228, 7649, 136, 7513
270, -15692, 7578, 47244, 39666, -23246, 3815, -27061, -2767, 382, 4733, 4351, -3149, 339, -3488
271, 136757, 155315, 658315, 503000, -14959, 156632, -171591, 11226, 10873, 68207, 57334, 675, 10719, -10044
272, 755074, 247209, 540924, 293715, 505500, 106785, 398715, 98994, 20937, 57290, 36353, 77664, 6007, 71657
273, -12485, 188, 10145, 9957, -12826, 182, -13008, -1442, -98, 963, 1061, -1346, 6, -1352
274, -38694, -35527, 218159, 253686, -1150, 30654, -31804, -5053, -4817, 22570, 27387, -103, 2555, -2658
275, -6330, -3812, 9885, 13697, -2447, 2422, -4869, -957, -467, 993, 1460, -487, 175, -662
276, 4828, 5945, 12890, 6945, -1126, 1771, -2897, 1115, 515, 1285, 770, 598, 65, 533
277, 24392, 762, 45771, 45009, 23980, 6493, 17487, 3268, -359, 4834, 5193, 3637, 463, 3174
278, 266409, 96518, 253110, 156592, 169456, 47983, 121473, 19062, 7746, 26204, 18458, 11334, 2960, 8374
279, 65190, -6266, 39334, 45600, 71121, 8993, 62128, 8130, -1187, 4340, 5527, 9292, 674, 8618
280, 8878, 22759, 69991, 47232, -13931, 7540, -21471, 3093, 1978, 7627, 5649, 1154, 377, 777
281, 24082, -9511, 17021, 26532, 33299, 303, 32996, 3327, -1260, 1782, 3042, 4564, -72, 4636
282, 23372, 13788, 152794, 139006, 10512, 49015, -38503, 2199, 993, 16182, 15189, 1270, 4455, -3185
283, 121367, 90108, 112018, 21910, 31402, 7531, 23871, 15103, 9594, 12092, 2498, 5473, 973, 4500
284, 9361, 1417, 17214, 15797, 8038, 458, 7580, 1002, -26, 1808, 1834, 1033, 65, 968
285, 28943, -13671, 9494, 23165, 42167, 2281, 39886, 4061, -1794, 1047, 2841, 5834, 160, 5674
286, 883, 5764, 21964, 16200, -4815, 747, -5562, -46, 593, 2257, 1664, -637, -4, -633
287, 260292, 78009, 144250, 66241, 180756, 34019, 146737, 29195, 7260, 15730, 8470, 21865, 3389, 18476
288, 15707, 7137, 16847, 9710, 8515, 1048, 7467, 1953, 625, 1752, 1127, 1318, -22, 1340
289, 9594, 8976, 44567, 35591, 764, 13606, -12842, 635, 823, 4708, 3885, -177, 694, -871
290, 2859, -1229, 19093, 20322, 4297, 1965, 2332, 371, -320, 1977, 2297, 707, 193, 514
291, 50200, 14812, 49609, 34797, 35266, -307, 35573, 7307, 1217, 5270, 4053, 6045, -391, 6436
292, 105429, 39426, 135249, 95823, 66135, 27868, 38267, 10847, 3607, 14752, 11145, 7285, 1641, 5644
293, 425683, 289072, 560691, 271619, 138230, 26965, 111265, 38089, 25452, 58823, 33371, 12721, 465, 12256
294, 4556, -2224, 30071, 32295, 6997, 5798, 1199, 189, -670, 3040, 3710, 883, 349, 534
295, 15033, 12126, 26680, 14554, 3014, 5386, -2372, 2107, 1142, 2813, 1671, 969, 449, 520
296, -10060, 16070, 105986, 89916, -25978, 20870, -46848, -1977, 983, 10865, 9882, -2947, 885, -3832
297, -13315, 8421, 38636, 30215, -21938, 3511, -25449, -994, 664, 4009, 3345, -1660, 331, -1991
298, -6598, 580, 15786, 15206, -7205, 380, -7585, -308, -25, 1650, 1675, -278, 47, -325
299, 2184, 1210, 10991, 9781, 1035, 1375, -340, 534, -7, 1133, 1140, 543, 152, 391
300, 214580, 94910, 252144, 157234, 120948, 51225, 69723, 21790, 7819, 26752, 18933, 13994, 4053, 9941
301, -9630, 1529, 20833, 19304, -11236, 1809, -13045, -252, 50, 2188, 2138, -296, 125, -421
302, 12871, 11239, 23588, 12349, 1686, 5396, -3710, 1798, 1203, 2577, 1374, 602, 606, -4
303, 39441, 9223, 20632, 11409, 29998, 100, 29898, 5989, 876, 2244, 1368, 5085, 57, 5028
304, -2096, 1972, 14117, 12145, -4042, 1720, -5762, -775, 186, 1425, 1239, -959, 157, -1116
305, 15477, 68389, 310273, 241884, -52131, 32872, -85003, -730, 4017, 31686, 27669, -4694, 2991, -7685
306, 43165, 17354, 48852, 31498, 26003, 2479, 23524, 3499, 1662, 5258, 3596, 1840, 73, 1767
307, 19002, 35696, 58879, 23183, -16579, 3403, -19982, 111, 3055, 5797, 2742, -2940, -90, -2850
308, 41972, -505, 38714, 39219, 42177, 4614, 37563, 5727, -629, 4170, 4799, 6327, 162, 6165
309, 144888, 109213, 171087, 61874, 36389, 31265, 5124, 14015, 10461, 17555, 7094, 3586, 3667, -81
310, 9059, 4943, 14767, 9824, 4081, 492, 3589, 1193, 425, 1525, 1100, 766, -46, 812
311, 408440, 146693, 300032, 153339, 259857, 45348, 214509, 38581, 14041, 32592, 18551, 24491, 2504, 21987
312, 242981, 204933, 398611, 193678, 40821, 107098, -66277, 4469, 17551, 40603, 23052, -12998, 6733, -19731
313, 396210, 202172, 477380, 275208, 194735, 231599, -36864, 5489, 17174, 50140, 32966, -11590, 19996, -31586
314, 153709, 126304, 220891, 94587, 28415, 152520, -124105, -3144, 10905, 22487, 11582, -14124, 13371, -27495
315, 13514, 2358, 24056, 21698, 11234, 925, 10309, -243, 23, 2488, 2465, -252, -7, -245
316, 10863, 10582, 26748, 16166, 384, 1760, -1376, -628, 655, 2540, 1885, -1280, 59, -1339
317, 6126, 1686, 12092, 10406, 4578, 2090, 2488, 597, -2, 1189, 1191, 605, 63, 542
318, 22552, 23723, 52100, 28377, -925, 9058, -9983, 719, 2102, 5390, 3288, -1371, 553, -1924
319, 10475, 8237, 45881, 37644, 2497, 3206, -709, -4307, 130, 4509, 4379, -4437, 97, -4534
320, 45756, 19377, 47201, 27824, 26251, 6261, 19990, 3900, 1579, 4885, 3306, 2345, 331, 2014
321, -9719, -12308, 52222, 64530, 3012, 14117, -11105, -1330, -1267, 5537, 6804, -40, 1130, -1170
322, 540037, 201727, 426466, 224739, 338123, 198637, 139486, 44666, 19628, 46679, 27051, 25048, 21247, 3801
323, 21895, -6260, 11703, 17963, 27992, 2343, 25649, 2736, -894, 1283, 2177, 3612, 205, 3407
324, 7437, -5745, 8302, 14047, 13232, 3261, 9971, 1288, -773, 854, 1627, 2057, 258, 1799
325, -172, 1572, 11653, 10081, -1697, 754, -2451, 107, 147, 1226, 1079, -35, 41, -76
326, 15335, 1360, 14334, 12974, 14009, 1313, 12696, 2425, 136, 1630, 1494, 2283, 90, 2193
327, -3900, 14744, 52173, 37429, -18770, 2461, -21231, -2575, 770, 4920, 4150, -3344, 57, -3401
328, -5437, 2604, 14452, 11848, -8272, 2499, -10771, -489, 36, 1348, 1312, -529, 66, -595
329, 1119, 7700, 19546, 11846, -6632, 2085, -8717, 914, 816, 2012, 1196, 105, 122, -17
330, 39968, 19508, 35744, 16236, 20333, 6431, 13902, 4422, 2108, 3931, 1823, 2307, 260, 2047
331, 4410, 8202, 36905, 28703, -3668, 5192, -8860, 916, 936, 3925, 2989, -13, 797, -810
332, 35481, 6361, 33877, 27516, 29139, 1679, 27460, 5648, 719, 3897, 3178, 4914, 242, 4672
333, 53769, 14182, 59155, 44973, 39814, 6035, 33779, 9694, 1027, 6314, 5287, 8637, 486, 8151
334, -3302, 3309, 22393, 19084, -6530, 2178, -8708, -1060, 95, 2323, 2228, -1158, 199, -1357
335, 4323, 4448, 63385, 58937, -85, 30334, -30419, -2756, -71, 6474, 6545, -2685, 959, -3644
336, 33544, 13234, 52176, 38942, 20399, 2408, 17991, 4027, 1068, 5478, 4410, 2957, 220, 2737
337, -4256, -1117, 14729, 15846, -3061, 459, -3520, -445, -107, 1554, 1661, -332, 23, -355
338, 8380, 2310, 11320, 9010, 6069, 9416, -3347, -216, 42, 1147, 1105, -266, 835, -1101
339, 4624, -682, 11545, 12227, 5343, 1059, 4284, 492, -127, 1229, 1356, 623, 99, 524
340, 76842, 44384, 93390, 49006, 32797, 10082, 22715, 9657, 4137, 9975, 5838, 5529, 687, 4842
341, -1968, 3100, 16598, 13498, -5029, 1120, -6149, 315, 162, 1645, 1483, 161, 88, 73
342, -14031, 11737, 66531, 54794, -25820, 13114, -38934, -1688, 895, 6827, 5932, -2588, 885, -3473
343, 18456, 12475, 37381, 24906, 5788, 6407, -619, 2909, 1066, 3955, 2889, 1848, 465, 1383
344, 411346, 12252, 294083, 281831, 397215, 104814, 292401, 40182, -1691, 32154, 33845, 41798, 7171, 34627
345, -3407, 978, 20086, 19108, -4333, 1587, -5920, -359, 39, 2079, 2040, -396, 215, -611
346, -433, 2625, 17822, 15197, -2981, 158, -3139, -586, 80, 1773, 1693, -662, -14, -648
347, 39000, -10573, 4311, 14884, 48895, -134, 49029, 3701, -1539, 478, 2017, 5212, -57, 5269
348, -9619, 12412, 71848, 59436, -22094, 5646, -27740, -1273, 804, 7428, 6624, -2069, 270, -2339
349, -1891, 4737, 26664, 21927, -6550, 1618, -8168, -297, 250, 2590, 2340, -541, 132, -673
350, -55, 11634, 38444, 26810, -11831, 16366, -28197, -758, 1034, 4021, 2987, -1815, 1182, -2997
351, 67016, 21542, 107047, 85505, 46336, 22079, 24257, 10725, 692, 10891, 10199, 10005, 1204, 8801
352, 61103, 35371, 121193, 85822, 26210, 14415, 11795, 5491, 2558, 12440, 9882, 2972, 1257, 1715
353, 12833, 6871, 27624, 20753, 5911, 2721, 3190, 790, 541, 2922, 2381, 256, 232, 24
354, 11694, 6569, 14844, 8275, 5159, 2539, 2620, 1195, 632, 1562, 930, 568, 158, 410
355, 23026, 9252, 28191, 18939, 13822, 2131, 11691, 3002, 792, 2969, 2177, 2212, 92, 2120
356, 21357, 50711, 121272, 70561, -28785, 46111, -74896, -5295, 3418, 12013, 8595, -8691, 3736, -12427
357, -9339, 31, 29641, 29610, -9340, 5250, -14590, -1197, -107, 3042, 3149, -1090, 265, -1355
358, 7630, 7791, 18666, 10875, -341, 2056, -2397, 1149, 616, 1934, 1318, 536, 127, 409
359, 34300, 18081, 47682, 29601, 16528, 6691, 9837, 1918, 1377, 5088, 3711, 557, 280, 277
360, 5739, 4340, 12404, 8064, 1389, 546, 843, 276, 350, 1247, 897, -71, 24, -95
361, -7100, 4541, 18338, 13797, -11725, 3190, -14915, -1108, 322, 1757, 1435, -1435, 74, -1509
362, 54946, 78552, 209617, 131065, -23410, 36319, -59729, 5188, 6309, 21589, 15280, -1032, 1165, -2197
363, 24013, 41985, 69462, 27477, -17932, -636, -17296, 1606, 3823, 7032, 3209, -2230, -270, -1960
364, 21154, 12895, 33987, 21092, 8384, 2630, 5754, 2493, 1249, 3646, 2397, 1244, 161, 1083
365, 1979, 842, 6100, 5258, 1163, 136, 1027, 145, 35, 610, 575, 113, -15, 128
366, 17783, 8835, 21567, 12732, 8970, 2828, 6142, 2523, 730, 2297, 1567, 1799, 152, 1647
367, 630799, 428108, 743898, 315790, 200650, 326958, -126308, 32646, 39384, 78147, 38763, -6771, 22977, -29748
368, 703, 5008, 19377, 14369, -4194, 2815, -7009, -414, 491, 2055, 1564, -899, 211, -1110
369, -6398, 10875, 19170, 8295, -17420, 3033, -20453, -2032, 994, 1913, 919, -3026, -45, -2981
370, 481, 3423, 17162, 13739, -2856, 612, -3468, 191, 337, 1744, 1407, -142, 66, -208
371, -8381, -5260, 10356, 15616, -3005, -176, -2829, -908, -580, 1079, 1659, -322, -50, -272
372, 9742, 4326, 13383, 9057, 5489, 666, 4823, 1128, 381, 1393, 1012, 750, 48, 702
373, -9009, -4101, 13249, 17350, -4802, -57, -4745, -1111, -545, 1285, 1830, -560, -27, -533
374, 17157, 29769, 81503, 51734, -12358, 9096, -21454, 2699, 2325, 8057, 5732, 397, 688, -291
375, -220, 2932, 17382, 14450, -3110, 3283, -6393, 299, 101, 1730, 1629, 203, 167, 36
376, -2803, -325, 11394, 11719, -2439, 602, -3041, -567, -187, 1133, 1320, -379, 65, -444
377, 42654, 4489, 26461, 21972, 37745, 1521, 36224, 3260, 254, 2844, 2590, 2996, 124, 2872
378, 12114, 3266, 14270, 11004, 8878, 1826, 7052, 1074, 221, 1492, 1271, 856, 75, 781
379, 35505, 10063, 68473, 58410, 25813, 4664, 21149, 4879, 729, 7271, 6542, 4166, 358, 3808
380, 30641, 16269, 90296, 74027, 14793, 36326, -21533, 1291, 1162, 9575, 8413, 145, 2272, -2127
381, 7633, 19134, 37137, 18003, -11510, -269, -11241, 311, 1653, 3746, 2093, -1340, -137, -1203
382, 14043, 8584, 45524, 36940, 5907, 5255, 652, 1211, 747, 4868, 4121, 491, 200, 291
383, -29701, -12813, 51745, 64558, -16642, 2675, -19317, -2145, -1392, 5450, 6842, -726, 25, -751
384, 8741, 10299, 23119, 12820, -1566, 2723, -4289, 1734, 999, 2416, 1417, 737, 100, 637
385, 18037, 14964, 28472, 13508, 2839, 7552, -4713, 2175, 1278, 2991, 1713, 903, 546, 357
386, 2065, 1199, 5041, 3842, 866, 928, -62, -343, 143, 537, 394, -485, 21, -506
