Index,  Total Population Change - Decade,  Natural Increase - Decade,  Births - Decade,  Deaths - Decade,  Total - Decade,  International - Decade,  Domestic - Decade,  Total Population Change - Annual,  Natural Increase - Annual,  Births - Annual,  Deaths - Annual,  Total - Annual,  International - Annual,  Domestic - Annual
871, -2491, -634, 3185, 3819, -1857, 31, -1888, -349, -72, 324, 396, -276, -1, -275
872, 1471, -56, 2829, 2885, 1532, 69, 1463, 250, 0, 299, 299, 251, 3, 248
873, -829, -411, 2990, 3401, -414, -18, -396, 135, -94, 306, 400, 234, -4, 238
874, -272, 567, 5253, 4686, -809, 190, -999, 117, 15, 531, 516, 105, 18, 87
875, -1564, -46, 5416, 5462, -1513, 466, -1979, -16, 28, 589, 561, -42, 34, -76
876, 508, 1517, 5219, 3702, -1056, 21, -1077, 102, 135, 554, 419, -34, -4, -30
877, -228, -357, 2846, 3203, 142, 3, 139, -82, -39, 317, 356, -42, 0, -42
878, -9547, -3159, 13334, 16493, -6375, 2276, -8651, -762, -456, 1382, 1838, -299, 263, -562
879, 7286, -403, 13131, 13534, 7712, 306, 7406, 842, -73, 1402, 1475, 918, 15, 903
880, 213, 497, 3463, 2966, -313, 947, -1260, -128, 6, 345, 339, -131, 79, -210
881, 1008, -1690, 7428, 9118, 2792, 101, 2691, 247, -208, 778, 986, 462, -3, 465
882, 5007, -900, 10386, 11286, 5949, 242, 5707, 947, 8, 1172, 1164, 941, 36, 905
883, 4595, 3725, 20110, 16385, 940, 339, 601, 420, 320, 2101, 1781, 109, 50, 59
884, -1101, 1685, 9521, 7836, -2718, -153, -2565, -652, 73, 933, 860, -720, -60, -660
885, -1657, -673, 2858, 3531, -978, -16, -962, -8, -84, 294, 378, 79, -1, 80
886, -1738, -384, 3195, 3579, -1353, 9, -1362, -205, -89, 328, 417, -116, 5, -121
887, -1216, 98, 3752, 3654, -1312, 89, -1401, 100, 14, 412, 398, 90, 3, 87
888, 336, 1413, 3701, 2288, -1054, 146, -1200, -46, 125, 378, 253, -171, -36, -135
889, -484, 185, 3099, 2914, -661, 72, -733, 22, 44, 339, 295, -21, -1, -20
890, 204, 443, 1355, 912, -247, 200, -447, 87, 51, 131, 80, 37, -1, 38
891, 3146, 3880, 5965, 2085, -822, 151, -973, 329, 305, 536, 231, 25, 15, 10
892, -766, 81, 1515, 1434, -858, 78, -936, -8, 11, 154, 143, -18, 2, -20
893, -3389, 835, 5682, 4847, -4224, 152, -4376, -712, 58, 576, 518, -770, 16, -786
894, -349, 928, 4530, 3602, -1270, -18, -1252, -68, 80, 474, 394, -146, -14, -132
895, -1846, 94, 4143, 4049, -1941, 116, -2057, -2, -4, 390, 394, 3, 20, -17
896, 797, 184, 1510, 1326, 615, 2, 613, 3, 25, 171, 146, -20, -1, -19
897, -1892, -796, 3112, 3908, -1092, 66, -1158, -202, -100, 306, 406, -103, 10, -113
898, -513, 362, 2353, 1991, -869, -63, -806, -89, 54, 263, 209, -144, -12, -132
899, -261, 651, 5111, 4460, -899, 262, -1161, -80, 66, 559, 493, -147, 18, -165
900, -2620, -982, 3714, 4696, -1618, 87, -1705, -360, -114, 417, 531, -245, 5, -250
901, 1497, 2915, 6608, 3693, -1425, 1029, -2454, 441, 308, 686, 378, 135, 41, 94
902, 2101, 3086, 9530, 6444, -924, 502, -1426, 40, 305, 1029, 724, -261, 85, -346
903, 1697, 1875, 4951, 3076, -163, 160, -323, 73, 212, 539, 327, -142, 21, -163
904, -790, -1057, 4392, 5449, 310, 15, 295, -62, -189, 439, 628, 131, 3, 128
905, -509, -98, 3193, 3291, -391, 96, -487, -128, 21, 330, 309, -147, 4, -151
906, 1049, 1622, 4459, 2837, -559, 220, -779, 70, 145, 435, 290, -73, 4, -77
907, 1081, 1945, 8070, 6125, -810, 335, -1145, -280, 141, 835, 694, -422, 28, -450
908, -800, 1603, 3529, 1926, -2431, 313, -2744, -231, 146, 339, 193, -378, -2, -376
909, 141, 725, 6764, 6039, -582, -12, -570, 224, 58, 739, 681, 166, -14, 180
910, 1463, 1378, 4079, 2701, 56, 540, -484, 8, 121, 398, 277, -113, 55, -168
