City,Tech_2018
"Dover, DE (Metropolitan Statistical Area)",51954
"Dubuque, IA (Metropolitan Statistical Area)",192775
"Duluth, MN-WI (Metropolitan Statistical Area)",210239
"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",1282485
"East Stroudsburg, PA (Metropolitan Statistical Area)",86704
"Eau Claire, WI (Metropolitan Statistical Area)",176934
"El Centro, CA (Metropolitan Statistical Area)",59746
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",(D)
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",66735
"Elmira, NY (Metropolitan Statistical Area)",79002
"El Paso, TX (Metropolitan Statistical Area)",(D)
"Enid, OK (Metropolitan Statistical Area)",46401
"Erie, PA (Metropolitan Statistical Area)",424612
"Eugene-Springfield, OR (Metropolitan Statistical Area)",635534
"Evansville, IN-KY (Metropolitan Statistical Area)",269082
"Fairbanks, AK (Metropolitan Statistical Area) *",72289
"Fargo, ND-MN (Metropolitan Statistical Area)",794259
"Farmington, NM (Metropolitan Statistical Area)",(D)
"Fayetteville, NC (Metropolitan Statistical Area)",235101
"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",(D)
"Flagstaff, AZ (Metropolitan Statistical Area)",175136
"Flint, MI (Metropolitan Statistical Area)",1716548
"Florence, SC (Metropolitan Statistical Area)",166193
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",73328
"Fond du Lac, WI (Metropolitan Statistical Area)",152979
"Fort Collins, CO (Metropolitan Statistical Area)",451766
"Fort Smith, AR-OK (Metropolitan Statistical Area)",240973
"Fort Wayne, IN (Metropolitan Statistical Area)",(D)
"Fresno, CA (Metropolitan Statistical Area)",1079338
"Gadsden, AL (Metropolitan Statistical Area)",49323
"Gainesville, FL (Metropolitan Statistical Area)",(D)
"Gainesville, GA (Metropolitan Statistical Area)",111451
"Gettysburg, PA (Metropolitan Statistical Area)",56622
"Glens Falls, NY (Metropolitan Statistical Area)",359435
"Goldsboro, NC (Metropolitan Statistical Area)",26903
"Grand Forks, ND-MN (Metropolitan Statistical Area)",113336
"Grand Island, NE (Metropolitan Statistical Area)",(D)
"Grand Junction, CO (Metropolitan Statistical Area)",101114
"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",942167
"Grants Pass, OR (Metropolitan Statistical Area)",53407
"Great Falls, MT (Metropolitan Statistical Area)",99492
"Greeley, CO (Metropolitan Statistical Area) *",162924
"Green Bay, WI (Metropolitan Statistical Area)",(D)
"Greensboro-High Point, NC (Metropolitan Statistical Area)",970533
"Greenville, NC (Metropolitan Statistical Area)",116649
"Greenville-Anderson, SC (Metropolitan Statistical Area)",1696308
"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",339385
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",(D)
"Hammond, LA (Metropolitan Statistical Area)",57704
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",28241
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",1239131
"Harrisonburg, VA (Metropolitan Statistical Area) *",172978
"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",5561226
"Hattiesburg, MS (Metropolitan Statistical Area)",(D)
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",143687
"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",88065
"Hinesville, GA (Metropolitan Statistical Area)",13605
"Homosassa Springs, FL (Metropolitan Statistical Area)",51901
"Hot Springs, AR (Metropolitan Statistical Area)",56588
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",63154
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",(D)
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",235567
"Huntsville, AL (Metropolitan Statistical Area)",600616
"Idaho Falls, ID (Metropolitan Statistical Area)",139343
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",(D)
"Iowa City, IA (Metropolitan Statistical Area)",116363
"Ithaca, NY (Metropolitan Statistical Area)",163647
"Jackson, MI (Metropolitan Statistical Area)",121871
"Jackson, MS (Metropolitan Statistical Area)",(D)
"Jackson, TN (Metropolitan Statistical Area)",(D)
"Jacksonville, FL (Metropolitan Statistical Area)",3860573
"Jacksonville, NC (Metropolitan Statistical Area)",39027
"Janesville-Beloit, WI (Metropolitan Statistical Area)",202045
"Jefferson City, MO (Metropolitan Statistical Area)",181082
"Johnson City, TN (Metropolitan Statistical Area)",240636
"Johnstown, PA (Metropolitan Statistical Area)",160282
"Jonesboro, AR (Metropolitan Statistical Area)",59162
"Joplin, MO (Metropolitan Statistical Area)",94017
"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",135728
"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",166765
"Kankakee, IL (Metropolitan Statistical Area)",55261
"Kansas City, MO-KS (Metropolitan Statistical Area)",6666835
"Kennewick-Richland, WA (Metropolitan Statistical Area)",149652
"Killeen-Temple, TX (Metropolitan Statistical Area)",271728
"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",228918
"Kingston, NY (Metropolitan Statistical Area)",132383
"Knoxville, TN (Metropolitan Statistical Area)",1996944
"Kokomo, IN (Metropolitan Statistical Area)",43750
"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",184347
"Lafayette, LA (Metropolitan Statistical Area)",402522
"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",(D)
"Lake Charles, LA (Metropolitan Statistical Area)",(D)
"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",121359
"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",317860
"Lancaster, PA (Metropolitan Statistical Area)",839186
"Lansing-East Lansing, MI (Metropolitan Statistical Area)",599878
"Laredo, TX (Metropolitan Statistical Area)",145371
"Las Cruces, NM (Metropolitan Statistical Area)",186152
"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",3704476
"Lawrence, KS (Metropolitan Statistical Area)",96917
"Lawton, OK (Metropolitan Statistical Area)",(D)
"Lebanon, PA (Metropolitan Statistical Area)",344123
"Lewiston, ID-WA (Metropolitan Statistical Area)",58322
"Lewiston-Auburn, ME (Metropolitan Statistical Area)",110873
"Lexington-Fayette, KY (Metropolitan Statistical Area)",579661
"Lima, OH (Metropolitan Statistical Area)",81299
"Lincoln, NE (Metropolitan Statistical Area)",752854
"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",1013188
"Logan, UT-ID (Metropolitan Statistical Area)",86951
"Longview, TX (Metropolitan Statistical Area)",327464
"Longview, WA (Metropolitan Statistical Area)",67969
"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",102415710
"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",2035329
"Lubbock, TX (Metropolitan Statistical Area)",(D)
"Lynchburg, VA (Metropolitan Statistical Area) *",(D)
"Macon-Bibb County, GA (Metropolitan Statistical Area)",467792
"Madera, CA (Metropolitan Statistical Area)",93490
"Madison, WI (Metropolitan Statistical Area)",5058253
"Manchester-Nashua, NH (Metropolitan Statistical Area)",1537292
"Manhattan, KS (Metropolitan Statistical Area)",101829
"Mankato, MN (Metropolitan Statistical Area)",277986
"Mansfield, OH (Metropolitan Statistical Area)",104501
"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",405177
"Medford, OR (Metropolitan Statistical Area)",285446
"Memphis, TN-MS-AR (Metropolitan Statistical Area)",1554453
"Merced, CA (Metropolitan Statistical Area)",61697
"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",17583646
"Michigan City-La Porte, IN (Metropolitan Statistical Area)",26148
"Midland, MI (Metropolitan Statistical Area)",65945
"Midland, TX (Metropolitan Statistical Area)",(D)
"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",3543898
"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",9965443
"Missoula, MT (Metropolitan Statistical Area)",210124
"Mobile, AL (Metropolitan Statistical Area)",(D)
"Modesto, CA (Metropolitan Statistical Area)",257714
"Monroe, LA (Metropolitan Statistical Area)",706521
"Monroe, MI (Metropolitan Statistical Area)",48911
"Montgomery, AL (Metropolitan Statistical Area)",(D)
"Morgantown, WV (Metropolitan Statistical Area)",93138
"Morristown, TN (Metropolitan Statistical Area)",59463
"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",68224
"Muncie, IN (Metropolitan Statistical Area)",45349
"Muskegon, MI (Metropolitan Statistical Area)",84689
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",478561
"Napa, CA (Metropolitan Statistical Area)",122040
"Naples-Marco Island, FL (Metropolitan Statistical Area)",389400
"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",5337630
"New Bern, NC (Metropolitan Statistical Area)",(D)
"New Haven-Milford, CT (Metropolitan Statistical Area)",1781344
"New Orleans-Metairie, LA (Metropolitan Statistical Area)",1565090
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",150900240
"Niles, MI (Metropolitan Statistical Area)",69989
"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",842795
"Norwich-New London, CT (Metropolitan Statistical Area)",395725
"Ocala, FL (Metropolitan Statistical Area)",182124
"Ocean City, NJ (Metropolitan Statistical Area)",41334
"Odessa, TX (Metropolitan Statistical Area)",96490
"Ogden-Clearfield, UT (Metropolitan Statistical Area)",327454
"Oklahoma City, OK (Metropolitan Statistical Area)",(D)
"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",307693
"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",2655772
"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",6137894
"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",298018
"Owensboro, KY (Metropolitan Statistical Area)",(D)
"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",1615165
"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",558097
"Panama City, FL (Metropolitan Statistical Area)",120415
"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",(D)
"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",635090
"Peoria, IL (Metropolitan Statistical Area)",(D)
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",31677171
"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",9693244
"Pine Bluff, AR (Metropolitan Statistical Area)",12338
"Pittsburgh, PA (Metropolitan Statistical Area)",7107062
"Pittsfield, MA (Metropolitan Statistical Area)",128277
"Pocatello, ID (Metropolitan Statistical Area)",64407
"Portland-South Portland, ME (Metropolitan Statistical Area)",668554
"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",(D)
"Port St. Lucie, FL (Metropolitan Statistical Area)",270400
"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",960906
"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",146437
"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",1993611
"Provo-Orem, UT (Metropolitan Statistical Area)",(D)
"Pueblo, CO (Metropolitan Statistical Area)",74051
"Punta Gorda, FL (Metropolitan Statistical Area)",121658
"Racine, WI (Metropolitan Statistical Area)",89946
"Raleigh-Cary, NC (Metropolitan Statistical Area)",6558477
"Rapid City, SD (Metropolitan Statistical Area)",138370
"Reading, PA (Metropolitan Statistical Area)",417757
"Redding, CA (Metropolitan Statistical Area)",133848
"Reno, NV (Metropolitan Statistical Area)",(D)
"Richmond, VA (Metropolitan Statistical Area) *",1332975
"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",2640290
"Roanoke, VA (Metropolitan Statistical Area) *",(D)
"Rochester, MN (Metropolitan Statistical Area)",386290
"Rochester, NY (Metropolitan Statistical Area)",2008974
"Rockford, IL (Metropolitan Statistical Area)",390154
"Rocky Mount, NC (Metropolitan Statistical Area)",(D)
"Rome, GA (Metropolitan Statistical Area)",117554
"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",3472694
"Saginaw, MI (Metropolitan Statistical Area)",234773
"St. Cloud, MN (Metropolitan Statistical Area)",269310
"St. George, UT (Metropolitan Statistical Area)",203821
"St. Joseph, MO-KS (Metropolitan Statistical Area)",56564
"St. Louis, MO-IL (Metropolitan Statistical Area)",(D)
"Salem, OR (Metropolitan Statistical Area)",224932
"Salinas, CA (Metropolitan Statistical Area)",268099
"Salisbury, MD-DE (Metropolitan Statistical Area)",(D)
"Salt Lake City, UT (Metropolitan Statistical Area)",4484092
"San Angelo, TX (Metropolitan Statistical Area)",672719
"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",6035403
"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",12503142
"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",72174433
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",77120768
"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",406612
"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",220943
"Santa Fe, NM (Metropolitan Statistical Area)",240744
"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",1941130
"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",869247
"Savannah, GA (Metropolitan Statistical Area)",281433
"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",888220
"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",71550307
"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",149884
"Sebring-Avon Park, FL (Metropolitan Statistical Area)",39481
"Sheboygan, WI (Metropolitan Statistical Area)",41081
"Sherman-Denison, TX (Metropolitan Statistical Area)",87813
"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",377025
"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",92471
"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",(D)
"Sioux Falls, SD (Metropolitan Statistical Area)",727956
"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",264014
"Spartanburg, SC (Metropolitan Statistical Area)",(D)
"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",624758
"Springfield, IL (Metropolitan Statistical Area)",(D)
"Springfield, MA (Metropolitan Statistical Area)",690991
"Springfield, MO (Metropolitan Statistical Area)",(D)
"Springfield, OH (Metropolitan Statistical Area)",23806
"State College, PA (Metropolitan Statistical Area)",458939
"Staunton, VA (Metropolitan Statistical Area) *",59319
"Stockton, CA (Metropolitan Statistical Area)",385171
"Sumter, SC (Metropolitan Statistical Area)",(D)
"Syracuse, NY (Metropolitan Statistical Area)",995921
"Tallahassee, FL (Metropolitan Statistical Area)",(D)
"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",6659586
"Terre Haute, IN (Metropolitan Statistical Area)",96619
"Texarkana, TX-AR (Metropolitan Statistical Area)",(D)
"The Villages, FL (Metropolitan Statistical Area)",22036
"Toledo, OH (Metropolitan Statistical Area)",606293
"Topeka, KS (Metropolitan Statistical Area)",(D)
"Trenton-Princeton, NJ (Metropolitan Statistical Area)",1634612
"Tucson, AZ (Metropolitan Statistical Area)",1755201
"Tulsa, OK (Metropolitan Statistical Area)",(D)
"Tuscaloosa, AL (Metropolitan Statistical Area)",(D)
"Twin Falls, ID (Metropolitan Statistical Area)",(D)
"Tyler, TX (Metropolitan Statistical Area)",338711
"Urban Honolulu, HI (Metropolitan Statistical Area)",1761965
"Utica-Rome, NY (Metropolitan Statistical Area)",471766
"Valdosta, GA (Metropolitan Statistical Area)",167934
"Vallejo, CA (Metropolitan Statistical Area)",294066
"Victoria, TX (Metropolitan Statistical Area)",(D)
"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",141920
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area) *",1827220
"Visalia, CA (Metropolitan Statistical Area)",381047
"Waco, TX (Metropolitan Statistical Area)",210341
"Walla Walla, WA (Metropolitan Statistical Area)",50562
"Warner Robins, GA (Metropolitan Statistical Area)",(D)
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",(D)
"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",165171
"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",75857
"Wausau-Weston, WI (Metropolitan Statistical Area)",85368
"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",53595
"Wenatchee, WA (Metropolitan Statistical Area)",112649
"Wheeling, WV-OH (Metropolitan Statistical Area)",112611
"Wichita, KS (Metropolitan Statistical Area)",(D)
"Wichita Falls, TX (Metropolitan Statistical Area)",167064
"Williamsport, PA (Metropolitan Statistical Area)",130917
"Wilmington, NC (Metropolitan Statistical Area)",867560
"Winchester, VA-WV (Metropolitan Statistical Area) *",65677
"Winston-Salem, NC (Metropolitan Statistical Area)",(D)
"Worcester, MA-CT (Metropolitan Statistical Area)",1094680
"Yakima, WA (Metropolitan Statistical Area)",155491
"York-Hanover, PA (Metropolitan Statistical Area)",472336
"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",385233
"Yuba City, CA (Metropolitan Statistical Area)",89605
"Yuma, AZ (Metropolitan Statistical Area)",100236
