City,Tech_2018
United States (Metropolitan Portion) *,1031010251
"Abilene, TX (Metropolitan Statistical Area)",(D)
"Akron, OH (Metropolitan Statistical Area)",1158392
"Albany, GA (Metropolitan Statistical Area)",129633
"Albany-Lebanon, OR (Metropolitan Statistical Area)",70209
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2286471
"Albuquerque, NM (Metropolitan Statistical Area)",1672003
"Alexandria, LA (Metropolitan Statistical Area)",67444
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2541458
"Altoona, PA (Metropolitan Statistical Area)",331732
"Amarillo, TX (Metropolitan Statistical Area)",311285
"Ames, IA (Metropolitan Statistical Area)",188714
"Anchorage, AK (Metropolitan Statistical Area)",868121
"Ann Arbor, MI (Metropolitan Statistical Area)",1478061
"Anniston-Oxford, AL (Metropolitan Statistical Area)",88440
"Appleton, WI (Metropolitan Statistical Area)",(D)
"Asheville, NC (Metropolitan Statistical Area)",376200
"Athens-Clarke County, GA (Metropolitan Statistical Area)",79530
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",41270693
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",210331
"Auburn-Opelika, AL (Metropolitan Statistical Area)",82640
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",543564
"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",(D)
"Bakersfield, CA (Metropolitan Statistical Area)",603607
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",7131976
"Bangor, ME (Metropolitan Statistical Area)",129120
"Barnstable Town, MA (Metropolitan Statistical Area)",279712
"Baton Rouge, LA (Metropolitan Statistical Area)",1312089
"Battle Creek, MI (Metropolitan Statistical Area)",54680
"Bay City, MI (Metropolitan Statistical Area)",91820
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",(D)
"Beckley, WV (Metropolitan Statistical Area)",(D)
"Bellingham, WA (Metropolitan Statistical Area)",268798
"Bend, OR (Metropolitan Statistical Area)",441928
"Billings, MT (Metropolitan Statistical Area)",201304
"Binghamton, NY (Metropolitan Statistical Area)",249077
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",(D)
"Bismarck, ND (Metropolitan Statistical Area)",(D)
"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",(D)
"Bloomington, IL (Metropolitan Statistical Area)",110061
"Bloomington, IN (Metropolitan Statistical Area)",(D)
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",(D)
"Boise City, ID (Metropolitan Statistical Area)",(D)
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",28979207
"Boulder, CO (Metropolitan Statistical Area) *",3527643
"Bowling Green, KY (Metropolitan Statistical Area)",(D)
"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",209569
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",6677296
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",179164
"Brunswick, GA (Metropolitan Statistical Area)",77637
"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",1722112
"Burlington, NC (Metropolitan Statistical Area)",65810
"Burlington-South Burlington, VT (Metropolitan Statistical Area)",(D)
"California-Lexington Park, MD (Metropolitan Statistical Area)",40660
"Canton-Massillon, OH (Metropolitan Statistical Area)",253976
"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",839172
"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",(D)
"Carbondale-Marion, IL (Metropolitan Statistical Area)",148855
"Carson City, NV (Metropolitan Statistical Area)",109524
"Casper, WY (Metropolitan Statistical Area)",60252
"Cedar Rapids, IA (Metropolitan Statistical Area)",973802
"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",78072
"Champaign-Urbana, IL (Metropolitan Statistical Area)",440718
"Charleston, WV (Metropolitan Statistical Area)",(D)
"Charleston-North Charleston, SC (Metropolitan Statistical Area)",1433752
"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",(D)
"Charlottesville, VA (Metropolitan Statistical Area) *",448581
"Chattanooga, TN-GA (Metropolitan Statistical Area)",(D)
"Cheyenne, WY (Metropolitan Statistical Area)",198674
"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",(D)
"Chico, CA (Metropolitan Statistical Area)",186266
"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",3570158
"Clarksville, TN-KY (Metropolitan Statistical Area)",(D)
"Cleveland, TN (Metropolitan Statistical Area)",(D)
"Cleveland-Elyria, OH (Metropolitan Statistical Area)",3819016
"Coeur d'Alene, ID (Metropolitan Statistical Area)",137963
"College Station-Bryan, TX (Metropolitan Statistical Area)",(D)
"Colorado Springs, CO (Metropolitan Statistical Area)",1253933
"Columbia, MO (Metropolitan Statistical Area)",(D)
"Columbia, SC (Metropolitan Statistical Area)",1335644
"Columbus, GA-AL (Metropolitan Statistical Area)",216846
"Columbus, IN (Metropolitan Statistical Area)",63986
"Columbus, OH (Metropolitan Statistical Area)",(D)
"Corpus Christi, TX (Metropolitan Statistical Area)",391111
"Corvallis, OR (Metropolitan Statistical Area)",159791
"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",364605
"Cumberland, MD-WV (Metropolitan Statistical Area)",(D)
"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",33272774
"Dalton, GA (Metropolitan Statistical Area)",(D)
"Danville, IL (Metropolitan Statistical Area)",29623
"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",131793
"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",324920
"Dayton-Kettering, OH (Metropolitan Statistical Area)",2004826
"Decatur, AL (Metropolitan Statistical Area)",58617
"Decatur, IL (Metropolitan Statistical Area)",62210
"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",441000
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",(D)
"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",1664812
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",6480170
"Dothan, AL (Metropolitan Statistical Area)",97554
