Geographical Area, Total Population Change - Decade, Natural Increase - Decade, Births - Decade, Deaths - Decade, Total - Decade, International - Decade, Domestic - Decade, Total Population Change - Annual, Natural Increase - Annual, Births - Annual, Deaths - Annual, Total - Annual, International - Annual, Domestic - Annual
".Bloomsburg-Berwick, PA Metro Area","-2,361","-1,029","7,446","8,475","-1,264",514,"-1,778",-261,-225,726,951,-30,8,-38
".Boise City, ID Metro Area","132,636","36,840","78,969","42,129","95,236","6,060","89,176","20,291","3,522","8,479","4,957","16,684",-75,"16,759"
".Boston-Cambridge-Newton, MA-NH Metro Area","320,424","141,612","475,777","334,165","182,147","285,199","-103,052","13,483","12,428","50,726","38,298","1,139","24,391","-23,252"
"..Boston, MA Metro Division","143,859","63,607","201,427","137,820","81,556","132,497","-50,941","7,085","5,690","21,540","15,850","1,485","11,750","-10,265"
"..Cambridge-Newton-Framingham, MA Metro Division","154,518","73,686","238,790","165,104","82,574","147,139","-64,565","4,080","6,503","25,360","18,857","-2,443","12,201","-14,644"
"..Rockingham County-Strafford County, NH Metro Division","22,047","4,319","35,560","31,241","18,017","5,563","12,454","2,318",235,"3,826","3,591","2,097",440,"1,657"
".Boulder, CO Metro Area","31,636","10,172","26,198","16,026","21,441","8,470","12,971","1,560",674,"2,609","1,935",896,938,-42
".Bowling Green, KY Metro Area","20,627","5,949","19,566","13,617","14,662","4,654","10,008","2,376",697,"2,228","1,531","1,677",107,"1,570"
".Bremerton-Silverdale-Port Orchard, WA Metro Area","20,330","8,056","27,849","19,793","12,195","2,148","10,047","2,197",648,"3,023","2,375","1,544",75,"1,469"
".Bridgeport-Stamford-Norwalk, CT Metro Area","26,428","31,206","92,947","61,741","-4,739","44,863","-49,602",-639,"2,643","9,603","6,960","-3,343","4,737","-8,080"
".Brownsville-Harlingen, TX Metro Area","16,948","41,223","65,142","23,919","-24,410","4,200","-28,610","1,024","3,414","6,202","2,788","-2,396",11,"-2,407"
".Brunswick, GA Metro Area","6,394","1,334","12,065","10,731","5,067",503,"4,564",497,-32,"1,248","1,280",530,8,522
".Buffalo-Cheektowaga, NY Metro Area","-7,631",-4,"111,885","111,889","-6,892","24,110","-31,002","-1,794",-324,"11,823","12,147","-1,444","1,339","-2,783"
".Burlington, NC Metro Area","18,354","2,158","16,914","14,756","16,212",701,"15,511","2,995",330,"1,976","1,646","2,655",67,"2,588"
".Burlington-South Burlington, VT Metro Area","9,147","5,838","20,120","14,282","3,497","5,694","-2,197",472,487,"2,087","1,600",-10,323,-333
".California-Lexington Park, MD Metro Area","8,366","5,788","12,990","7,202","2,616","1,323","1,293",790,445,"1,319",874,348,60,288
".Canton-Massillon, OH Metro Area","-6,905",-503,"40,730","41,233","-6,051","1,073","-7,124",-810,-141,"4,254","4,395",-652,25,-677
".Cape Coral-Fort Myers, FL Metro Area","151,822","-1,952","60,521","62,473","152,286","26,032","126,254","16,107","-1,190","6,760","7,950","17,226","2,183","15,043"
".Cape Girardeau, MO-IL Metro Area",495,"1,287","10,455","9,168",-771,"1,220","-1,991",-103,132,"1,080",948,-234,128,-362
".Carbondale-Marion, IL Metro Area","-3,384","1,846","14,376","12,530","-5,323","2,432","-7,755",-930,22,"1,431","1,409",-954,212,"-1,166"
".Carson City, NV Metro Area",647,"-1,018","5,427","6,445","1,641",-181,"1,822",714,-39,598,637,752,-43,795
".Casper, WY Metro Area","4,410","3,455","9,996","6,541",826,506,320,683,219,953,734,464,103,361
".Cedar Rapids, IA Metro Area","15,084","10,308","30,195","19,887","4,995","3,145","1,850",971,948,"3,214","2,266",36,185,-149
".Chambersburg-Waynesboro, PA Metro Area","5,396","3,065","16,994","13,929","2,510","1,461","1,049",448,98,"1,730","1,632",359,53,306
".Champaign-Urbana, IL Metro Area","8,227","10,012","23,441","13,429","-1,912","17,285","-19,197",-251,857,"2,405","1,548","-1,125","1,607","-2,732"
".Charleston, WV Metro Area","-20,911","-5,096","27,559","32,655","-15,683",716,"-16,399","-3,206",-920,"2,631","3,551","-2,284",-25,"-2,259"
".Charleston-North Charleston, SC Metro Area","137,477","34,811","86,195","51,384","101,288","8,231","93,057","14,000","2,824","9,350","6,526","11,128",788,"10,340"
".Charlotte-Concord-Gastonia, NC-SC Metro Area","392,920","110,931","281,325","170,394","280,220","49,640","230,580","43,933","10,605","31,214","20,609","33,262","5,120","28,142"
".Charlottesville, VA Metro Area","17,046","5,913","20,988","15,075","11,220","6,113","5,107","1,280",564,"2,290","1,726",719,332,387
".Chattanooga, TN-GA Metro Area","37,068","7,014","58,213","51,199","30,065","3,828","26,237","4,362",336,"6,274","5,938","4,019",424,"3,595"
".Cheyenne, WY Metro Area","7,615","4,474","11,829","7,355","3,119",429,"2,690",635,395,"1,269",874,243,1,242
".Chicago-Naperville-Elgin, IL-IN-WI Metro Area","-2,998","438,246","1,085,985","647,739","-441,506","197,093","-638,599","-25,619","33,924","108,425","74,501","-59,693","15,257","-74,950"
"..Chicago-Naperville-Evanston, IL Metro Division","-25,583","341,807","832,923","491,116","-367,592","175,553","-543,145","-26,855","26,515","82,957","56,442","-53,518","13,873","-67,391"
"..Elgin, IL Metro Division","31,002","47,553","87,955","40,402","-16,419","5,415","-21,834","1,504","4,056","8,829","4,773","-2,551",224,"-2,775"
"..Gary, IN Metro Division","-4,689","12,957","75,224","62,267","-17,439","2,256","-19,695","2,149",410,"7,547","7,137","1,784",391,"1,393"
"..Lake County-Kenosha County, IL-WI Metro Division","-3,728","35,929","89,883","53,954","-40,056","13,869","-53,925","-2,417","2,943","9,092","6,149","-5,408",769,"-6,177"
".Chico, CA Metro Area",-819,782,"22,527","21,745","-1,604","1,640","-3,244","-11,153",-105,"2,422","2,527","-11,146",103,"-11,249"
".Cincinnati, OH-KY-IN Metro Area","83,495","73,617","253,180","179,563","11,213","31,157","-19,944","9,272","6,613","26,892","20,279","2,740","1,547","1,193"
".Clarksville, TN-KY Metro Area","33,878","27,663","47,474","19,811","5,746","6,228",-482,"3,519","2,866","5,245","2,379",641,-55,696
".Cleveland, TN Metro Area","9,195","1,074","12,549","11,475","8,139","1,088","7,051",974,58,"1,406","1,348",920,170,750
".Cleveland-Elyria, OH Metro Area","-28,828","14,479","212,523","198,044","-42,445","36,318","-78,763","-5,346",539,"22,003","21,464","-5,817","1,433","-7,250"
".Coeur d'Alene, ID Metro Area","27,231","4,026","16,346","12,320","23,102",-645,"23,747","4,488",312,"1,815","1,503","4,159",-118,"4,277"
".College Station-Bryan, TX Metro Area","36,060","16,008","28,760","12,752","19,989","12,665","7,324","3,393","1,511","3,041","1,530","1,883","1,063",820
".Colorado Springs, CO Metro Area","100,179","47,495","87,988","40,493","52,570","11,220","41,350","8,589","4,645","9,688","5,043","3,922",523,"3,399"
".Columbia, MO Metro Area","17,775","9,826","22,230","12,404","7,970","5,743","2,227","1,427",897,"2,324","1,427",534,534,0
".Columbia, SC Metro Area","70,964","25,002","86,594","61,592","46,188","13,450","32,738","6,743","1,841","9,110","7,269","4,913","1,440","3,473"
".Columbus, GA-AL Metro Area","12,570","15,057","42,452","27,395","-3,121","7,830","-10,951","2,837","1,184","4,313","3,129","1,658",358,"1,300"
".Columbus, IN Metro Area","6,996","2,922","9,717","6,795","4,104","3,974",130,"1,057",281,"1,015",734,780,629,151
".Columbus, OH Metro Area","220,263","108,626","251,291","142,665","112,154","58,853","53,301","18,077","10,392","27,096","16,704","7,778","4,032","3,746"
".Corpus Christi, TX Metro Area","23,999","21,115","53,060","31,945","2,943","5,884","-2,941",327,"1,822","5,382","3,560","-1,497",392,"-1,889"
".Corvallis, OR Metro Area","7,472","1,494","6,730","5,236","5,963","4,555","1,408",611,117,701,584,499,331,168
".Crestview-Fort Walton Beach-Destin, FL Metro Area","48,939","10,408","31,828","21,420","38,062","3,974","34,088","7,143",814,"3,472","2,658","6,294",81,"6,213"
".Cumberland, MD-WV Metro Area","-5,988","-2,669","8,748","11,417","-3,284",583,"-3,867",-610,-328,889,"1,217",-279,38,-317
".Dallas-Fort Worth-Arlington, TX Metro Area","1,206,599","517,590","903,051","385,461","686,884","237,927","448,957","117,380","50,600","97,911","47,311","66,665","20,064","46,601"
"..Dallas-Plano-Irving, TX Metro Division","853,089","361,268","605,866","244,598","489,576","177,656","311,920","85,107","35,643","65,907","30,264","49,315","15,177","34,138"
"..Fort Worth-Arlington-Grapevine, TX Metro Division","353,510","156,322","297,185","140,863","197,308","60,271","137,037","32,273","14,957","32,004","17,047","17,350","4,887","12,463"
".Dalton, GA Metro Area","2,491","6,549","17,422","10,873","-4,009",625,"-4,634",532,527,"1,780","1,253",8,62,-54
".Danville, IL Metro Area","-5,867",484,"9,452","8,968","-6,361",214,"-6,575",-944,-27,918,945,-918,19,-937
".Daphne-Fairhope-Foley, AL Metro Area","40,969","1,650","20,641","18,991","38,880","1,343","37,537","5,379",-22,"2,304","2,326","5,377",80,"5,297"
".Davenport-Moline-Rock Island, IA-IL Metro Area",-509,"8,550","43,301","34,751","-8,953","5,209","-14,162",-872,560,"4,349","3,789","-1,425",362,"-1,787"
".Dayton-Kettering, OH Metro Area","8,331","10,890","88,783","77,893","-2,113","13,473","-15,586","2,523",885,"9,391","8,506","1,681",785,896
".Decatur, AL Metro Area","-1,224",915,"16,512","15,597","-2,051",998,"-3,049",459,7,"1,751","1,744",464,110,354
".Decatur, IL Metro Area","-6,768","1,045","12,367","11,322","-7,840",463,"-8,303",-495,35,"1,258","1,223",-530,34,-564
".Deltona-Daytona Beach-Ormond Beach, FL Metro Area","78,077","-21,838","52,064","73,902","99,352","11,264","88,088","10,179","-2,823","5,740","8,563","12,953",441,"12,512"
".Denver-Aurora-Lakewood, CO Metro Area","423,631","162,267","320,151","157,884","257,992","61,997","195,995","35,574","14,935","34,138","19,203","20,531","7,266","13,265"
".Des Moines-West Des Moines, IA Metro Area","92,818","40,673","85,530","44,857","51,899","11,716","40,183","8,377","4,136","9,311","5,175","4,237",519,"3,718"
".Detroit-Warren-Dearborn, MI Metro Area","23,402","84,753","462,696","377,943","-61,318","110,907","-172,225","-2,455","6,728","48,879","42,151","-9,139","7,516","-16,655"
"..Detroit-Dearborn-Livonia, MI Metro Division","-71,130","48,443","215,688","167,245","-121,285","38,142","-159,427","-5,110","4,381","22,766","18,385","-9,519","2,533","-12,052"
"..Warren-Troy-Farmington Hills, MI Metro Division","94,532","36,310","247,008","210,698","59,967","72,765","-12,798","2,655","2,347","26,113","23,766",380,"4,983","-4,603"
".Dothan, AL Metro Area","3,718","1,157","16,420","15,263","2,667",213,"2,454","1,109",34,"1,749","1,715","1,080",3,"1,077"
".Dover, DE Metro Area","18,436","6,171","20,448","14,277","12,260","2,127","10,133","2,246",370,"2,127","1,757","1,874",62,"1,812"
".Dubuque, IA Metro Area","3,668","2,707","11,009","8,302","1,034",815,219,389,229,"1,136",907,166,60,106
