Geographical Area, Total Population Change - Decade, Natural Increase - Decade, Births - Decade, Deaths - Decade, Total - Decade, International - Decade, Domestic - Decade, Total Population Change - Annual, Natural Increase - Annual, Births - Annual, Deaths - Annual, Total - Annual, International - Annual, Domestic - Annual
".Jonesboro, AR Metro Area","12,841","4,763","16,354","11,591","8,072","1,239","6,833","1,141",402,"1,766","1,364",739,43,696
".Joplin, MO Metro Area","4,055","5,310","22,013","16,703","-1,152","1,212","-2,364",951,424,"2,235","1,811",532,106,426
".Kahului-Wailuku-Lahaina, HI Metro Area","12,577","7,138","18,012","10,874","5,518","6,138",-620,445,388,"1,834","1,446",65,582,-517
".Kalamazoo-Portage, MI Metro Area","14,739","9,446","28,774","19,328","5,485","4,483","1,002",386,801,"3,010","2,209",-412,303,-715
".Kankakee, IL Metro Area","-3,588","1,946","12,271","10,325","-5,547",530,"-6,077",-91,73,"1,240","1,167",-163,29,-192
".Kansas City, MO-KS Metro Area","148,635","98,218","253,384","155,166","51,716","27,259","24,457","13,563","8,805","26,497","17,692","4,814","2,377","2,437"
".Kennewick-Richland, WA Metro Area","46,284","23,159","39,288","16,129","23,058","3,571","19,487","4,323","2,224","4,151","1,927","2,100",316,"1,784"
".Killeen-Temple, TX Metro Area","54,995","43,397","68,686","25,289","11,142","13,598","-2,456","9,031","4,057","7,039","2,982","4,937",125,"4,812"
".Kingsport-Bristol, TN-VA Metro Area","-2,291","-9,185","26,943","36,128","7,135",-122,"7,257",466,"-1,151","2,776","3,927","1,627",-19,"1,646"
".Kingston, NY Metro Area","-4,946","-1,139","14,405","15,544","-3,751","2,456","-6,207",-845,-310,"1,433","1,743",-529,148,-677
".Knoxville, TN Metro Area","54,021","1,643","84,244","82,601","52,546","7,094","45,452","7,812",-260,"8,995","9,255","8,067",985,"7,082"
".Kokomo, IN Metro Area",-204,153,"9,085","8,932",-290,341,-631,287,-4,946,950,298,37,261
".La Crosse-Onalaska, WI-MN Metro Area","2,958","2,447","13,220","10,773",572,341,231,3,171,"1,364","1,193",-160,-11,-149
".Lafayette, LA Metro Area","22,474","23,870","62,244","38,374","-1,317","4,234","-5,551",-473,"1,726","6,331","4,605","-2,196",222,"-2,418"
".Lafayette-West Lafayette, IN Metro Area","22,692","10,837","24,792","13,955","11,914","15,527","-3,613","2,064","1,057","2,617","1,560",999,"2,091","-1,092"
".Lake Charles, LA Metro Area","10,769","7,932","26,736","18,804","2,976","1,153","1,823",219,867,"2,983","2,116",-647,54,-701
".Lake Havasu City-Kingman, AZ Metro Area","11,999","-9,685","16,886","26,571","21,585","-1,496","23,081","2,889","-1,623","1,752","3,375","4,478",-246,"4,724"
".Lakeland-Winter Haven, FL Metro Area","122,704","9,786","69,821","60,035","112,597","23,260","89,337","18,180",806,"8,043","7,237","17,311",673,"16,638"
".Lancaster, PA Metro Area","26,281","20,139","65,415","45,276","6,589","11,759","-5,170","1,755","1,972","7,132","5,160",-205,647,-852
".Lansing-East Lansing, MI Metro Area","15,707","14,093","54,679","40,586","1,625","19,865","-18,240","1,717","1,125","5,702","4,577",612,"1,452",-840
".Laredo, TX Metro Area","26,348","36,433","48,554","12,121","-10,078","7,043","-17,121","1,532","3,357","4,735","1,378","-1,831",377,"-2,208"
".Las Cruces, NM Metro Area","8,978","12,954","27,022","14,068","-4,004","2,240","-6,244",917,"1,015","2,630","1,615",-96,128,-224
".Las Vegas-Henderson-Paradise, NV Metro Area","315,447","105,372","247,787","142,415","208,889","23,319","185,570","40,600","9,129","27,048","17,919","31,283",-360,"31,643"
".Lawrence, KS Metro Area","11,433","4,907","11,149","6,242","6,564","5,122","1,442","1,150",420,"1,107",687,729,387,342
".Lawton, OK Metro Area","-3,873","7,691","17,852","10,161","-11,769","2,831","-14,600",67,523,"1,693","1,170",-454,56,-510
".Lebanon, PA Metro Area","8,196","1,613","15,092","13,479","6,716","4,877","1,839",454,77,"1,581","1,504",384,124,260
".Lewiston, ID-WA Metro Area","2,097",-293,"6,567","6,860","2,421",-204,"2,625",118,-38,680,718,161,-47,208
".Lewiston-Auburn, ME Metro Area",568,"1,802","11,771","9,969","-1,187","1,143","-2,330",363,124,"1,208","1,084",242,92,150
".Lexington-Fayette, KY Metro Area","44,953","21,545","57,894","36,349","23,522","11,848","11,674","2,118","1,933","6,086","4,153",195,259,-64
".Lima, OH Metro Area","-3,962","1,560","11,697","10,137","-5,522",175,"-5,697",-374,135,"1,214","1,079",-509,-8,-501
".Lincoln, NE Metro Area","34,217","18,243","38,980","20,737","16,106","8,917","7,189","2,574","1,770","4,077","2,307",814,808,6
".Little Rock-North Little Rock-Conway, AR Metro Area","42,594","28,130","88,569","60,439","14,662","7,696","6,966","2,303","2,179","9,010","6,831",143,168,-25
".Logan, UT-ID Metro Area","16,723","17,562","23,357","5,795",-854,"2,240","-3,094","2,061","1,730","2,396",666,330,233,97
".Longview, TX Metro Area","6,650","7,553","34,504","26,951",-805,"1,888","-2,693","1,342",362,"3,364","3,002",992,46,946
".Longview, WA Metro Area","8,185","1,106","11,376","10,270","7,099",265,"6,834","1,841",153,"1,287","1,134","1,686",22,"1,664"
".Los Angeles-Long Beach-Anaheim, CA Metro Area","385,842","753,642","1,500,780","747,138","-362,998","377,442","-740,440","-35,080","59,687","149,369","89,682","-94,938","27,228","-122,166"
"..Anaheim-Santa Ana-Irvine, CA Metro Division","166,703","170,278","348,216","177,938","-1,103","84,009","-85,112",-281,"14,888","36,406","21,518","-15,180","6,178","-21,358"
"..Los Angeles-Long Beach-Glendale, CA Metro Division","219,139","583,364","1,152,564","569,200","-361,895","293,433","-655,328","-34,799","44,799","112,963","68,164","-79,758","21,050","-100,808"
".Louisville/Jefferson County, KY-IN Metro Area","62,422","31,671","141,702","110,031","31,536","20,169","11,367","3,085","2,852","14,990","12,138",278,671,-393
".Lubbock, TX Metro Area","31,368","15,696","38,925","23,229","15,616","3,403","12,213","3,018","1,354","4,068","2,714","1,666",252,"1,414"
".Lynchburg, VA Metro Area","10,912","1,841","26,279","24,438","9,174","3,531","5,643",673,40,"2,844","2,804",643,267,376
".Macon-Bibb County, GA Metro Area","-2,249","4,907","27,200","22,293","-7,136","1,769","-8,905",402,41,"2,694","2,653",378,143,235
".Madera, CA Metro Area","6,493","11,128","20,999","9,871","-4,704",-383,"-4,321",445,"1,048","2,108","1,060",-603,-139,-464
".Madison, WI Metro Area","59,399","28,060","67,559","39,499","31,480","15,600","15,880","4,938","2,535","6,988","4,453","2,406",988,"1,418"
".Manchester-Nashua, NH Metro Area","16,319","9,873","39,447","29,574","6,672","13,569","-6,897","2,395",758,"4,148","3,390","1,652","1,002",650
".Manhattan, KS Metro Area","3,191","15,192","21,877","6,685","-12,490","7,782","-20,272","-1,413","1,310","2,052",742,"-2,728",446,"-3,174"
".Mankato, MN Metro Area","5,185","3,828","10,317","6,489","1,386","1,510",-124,350,339,"1,068",729,12,137,-125
".Mansfield, OH Metro Area","-3,320",-161,"12,743","12,904","-3,129",238,"-3,367",167,-78,"1,319","1,397",251,11,240
".McAllen-Edinburg-Mission, TX Metro Area","93,943","105,539","143,366","37,827","-11,366","11,748","-23,114","6,409","9,457","14,054","4,597","-3,056",-18,"-3,038"
".Medford, OR Metro Area","17,740",44,"21,343","21,299","17,697",-141,"17,838","1,533",-74,"2,251","2,325","1,611",-41,"1,652"
".Memphis, TN-MS-AR Metro Area","29,943","64,370","170,921","106,551","-34,521","13,637","-48,158","3,548","5,367","17,720","12,353","-1,816","1,656","-3,472"
".Merced, CA Metro Area","21,884","23,063","38,618","15,555","-1,110",463,"-1,573","3,529","2,299","4,086","1,787","1,237",-144,"1,381"
".Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","600,214","178,095","626,897","448,802","422,703","615,283","-192,580","22,651","14,384","67,565","53,181","8,204","58,819","-50,615"
"..Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division","204,632","64,099","201,689","137,590","141,901","142,381",-480,"6,671","5,797","21,829","16,032",902,"13,055","-12,153"
"..Miami-Miami Beach-Kendall, FL Metro Division","218,947","110,939","291,240","180,301","107,292","390,173","-282,881","2,086","9,100","30,789","21,689","-7,158","38,016","-45,174"
"..West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division","176,635","3,057","133,968","130,911","173,510","82,729","90,781","13,894",-513,"14,947","15,460","14,460","7,748","6,712"
".Michigan City-La Porte, IN Metro Area","-1,578","1,109","12,075","10,966","-2,616",81,"-2,697",-93,33,"1,248","1,215",-120,7,-127
".Midland, MI Metro Area",-465,"1,232","7,933","6,701","-1,688","1,160","-2,848",-67,112,855,743,-177,64,-241
".Midland, TX Metro Area","40,932","15,880","26,136","10,256","24,557","3,307","21,250","4,417","1,894","3,084","1,190","2,509",328,"2,181"
".Milwaukee-Waukesha, WI Metro Area","19,225","59,009","182,815","123,806","-39,097","25,298","-64,395","1,184","5,117","18,927","13,810","-3,863","1,277","-5,140"
".Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","306,415","209,124","419,634","210,510","99,485","87,847","11,638","29,982","20,312","44,602","24,290","9,847","6,645","3,202"
".Missoula, MT Metro Area","10,304","3,212","11,126","7,914","7,109","1,271","5,838",960,244,"1,131",887,715,112,603
".Mobile, AL Metro Area","-1,183","11,538","53,087","41,549","-12,486","4,885","-17,371",-774,841,"5,608","4,767","-1,606",280,"-1,886"
".Modesto, CA Metro Area","36,210","32,649","70,420","37,771","3,879","4,607",-728,"2,534","3,076","7,393","4,317",-535,144,-679
".Monroe, LA Metro Area","-4,226","6,291","26,371","20,080","-10,438",779,"-11,217","-1,877",363,"2,606","2,243","-2,241",44,"-2,285"
".Monroe, MI Metro Area","-1,531",841,"14,053","13,212","-2,352",285,"-2,637",326,-22,"1,459","1,481",359,-10,369
".Montgomery, AL Metro Area","-1,250","12,067","44,789","32,722","-13,366","4,233","-17,599",268,"1,063","4,730","3,667",-792,329,"-1,121"
".Morgantown, WV Metro Area","9,342","3,498","13,166","9,668","5,765","3,321","2,444",-160,285,"1,380","1,095",-440,-26,-414
".Morristown, TN Metro Area","5,891","-1,020","13,994","15,014","6,971",839,"6,132",971,-213,"1,475","1,688","1,184",72,"1,112"
".Mount Vernon-Anacortes, WA Metro Area","12,313","2,574","13,426","10,852","9,769","1,610","8,159","1,370",166,"1,431","1,265","1,200",170,"1,030"
".Muncie, IN Metro Area","-3,535",-272,"11,071","11,343","-3,241","1,422","-4,663",-162,-106,"1,081","1,187",-53,180,-233
".Muskegon, MI Metro Area","1,372","3,782","19,514","15,732","-2,385",547,"-2,932",-33,301,"2,071","1,770",-330,32,-362
".Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","120,326","-3,999","38,280","42,279","122,581","2,288","120,293","15,916","-1,429","4,188","5,617","17,201",257,"16,944"
".Napa, CA Metro Area","1,209","1,784","13,062","11,278",-469,"1,157","-1,626","-1,045",-44,"1,235","1,279",-998,-13,-985
".Naples-Marco Island, FL Metro Area","63,380",109,"29,806","29,697","63,056","20,167","42,889","6,701",-707,"3,160","3,867","7,391","1,906","5,485"
".Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","288,134","88,741","216,969","128,228","197,758","39,422","158,336","29,591","9,186","24,308","15,122","20,419","4,937","15,482"
".New Bern, NC Metro Area","-2,524","3,352","15,570","12,218","-5,909","2,182","-8,091",-300,200,"1,510","1,310",-491,20,-511
".New Haven-Milford, CT Metro Area","-7,685","10,560","81,952","71,392","-18,293","32,843","-51,136","-2,214",625,"8,512","7,887","-2,858","2,740","-5,598"
".New Orleans-Metairie, LA Metro Area","80,639","43,608","145,792","102,184","36,032","20,800","15,232",397,"2,990","15,084","12,094","-2,550","1,682","-4,232"
".New York-Newark-Jersey City, NY-NJ-PA Metro Area","319,905","932,102","2,218,113","1,286,011","-611,662","837,005","-1,448,667","-60,462","76,764","228,660","151,896","-137,415","58,630","-196,045"
"..Nassau County-Suffolk County, NY Metro Division",529,"64,201","276,903","212,702","-63,021","50,245","-113,266","-4,839","4,672","29,130","24,458","-9,530","3,253","-12,783"
"..Newark, NJ-PA Metro Division","21,558","75,389","225,372","149,983","-54,178","74,051","-128,229","-1,601","6,750","24,061","17,311","-8,401","5,703","-14,104"
"..New Brunswick-Lakewood, NJ Metro Division","39,552","58,237","250,753","192,516","-18,365","60,896","-79,261","1,687","4,284","26,139","21,855","-2,619","4,185","-6,804"
"..New York-Jersey City-White Plains, NY-NJ Metro Division","258,266","734,275","1,465,085","730,810","-476,098","651,813","-1,127,911","-55,709","61,058","149,330","88,272","-116,865","45,489","-162,354"
".Niles, MI Metro Area","-3,407",733,"16,572","15,839","-4,107","3,175","-7,282",-389,8,"1,696","1,688",-392,216,-608
".North Port-Sarasota-Bradenton, FL Metro Area","134,683","-26,920","58,378","85,298","160,197","17,686","142,511","16,279","-4,144","6,317","10,461","20,333","1,434","18,899"
".Norwich-New London, CT Metro Area","-8,864","2,357","24,643","22,286","-11,261","6,111","-17,372","-1,079",-19,"2,502","2,521","-1,059",326,"-1,385"
".Ocala, FL Metro Area","34,280","-12,786","31,649","44,435","46,967","4,122","42,845","6,517","-1,667","3,495","5,162","8,151",15,"8,136"
".Ocean City, NJ Metro Area","-5,218","-4,081","7,966","12,047","-1,037","1,060","-2,097",-407,-565,734,"1,299",166,-15,181
".Odessa, TX Metro Area","29,087","15,113","26,048","10,935","13,561","2,296","11,265","4,263","1,687","2,915","1,228","2,562",238,"2,324"
".Ogden-Clearfield, UT Metro Area","86,702","63,341","98,076","34,735","23,625","4,772","18,853","10,204","6,365","10,133","3,768","3,835",433,"3,402"
".Oklahoma City, OK Metro Area","155,948","65,613","171,439","105,826","89,914","24,684","65,230","15,345","5,539","17,576","12,037","9,812","1,778","8,034"
".Olympia-Lacey-Tumwater, WA Metro Area","38,276","9,076","28,792","19,716","29,233","4,982","24,251","4,480",758,"3,135","2,377","3,713",362,"3,351"
".Omaha-Council Bluffs, NE-IA Metro Area","84,095","60,276","122,306","62,030","24,322","16,785","7,537","8,472","5,917","12,848","6,931","2,585","1,517","1,068"
".Orlando-Kissimmee-Sanford, FL Metro Area","473,748","103,875","259,676","155,801","368,588","181,996","186,592","33,309","10,064","29,522","19,458","23,227","9,517","13,710"
".Oshkosh-Neenah, WI Metro Area","4,907","3,727","17,264","13,537","1,311","1,101",210,"1,029",286,"1,783","1,497",748,65,683
".Owensboro, KY Metro Area","4,694","2,968","14,338","11,370","1,824","1,091",733,561,282,"1,516","1,234",283,42,241
".Oxnard-Thousand Oaks-Ventura, CA Metro Area","22,608","41,771","93,266","51,495","-18,720","7,250","-25,970","-2,136","2,920","9,161","6,241","-5,053",140,"-5,193"
".Palm Bay-Melbourne-Titusville, FL Metro Area","58,570","-15,771","47,809","63,580","74,263","9,438","64,825","6,739","-2,210","5,258","7,468","8,938",429,"8,509"
".Panama City, FL Metro Area","5,855","3,934","20,996","17,062","1,770","3,938","-2,168","-11,535",233,"2,222","1,989","-11,803",277,"-12,080"
".Parkersburg-Vienna, WV Metro Area","-3,328","-1,046","9,349","10,395","-2,196",-122,"-2,074",-652,-216,916,"1,132",-437,-24,-413
".Pensacola-Ferry Pass-Brent, FL Metro Area","53,638","10,215","53,258","43,043","43,221","6,040","37,181","8,230",547,"5,775","5,228","7,649",136,"7,513"
".Peoria, IL Metro Area","-15,692","7,578","47,244","39,666","-23,246","3,815","-27,061","-2,767",382,"4,733","4,351","-3,149",339,"-3,488"
".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","136,757","155,315","658,315","503,000","-14,959","156,632","-171,591","11,226","10,873","68,207","57,334",675,"10,719","-10,044"
"..Camden, NJ Metro Division","-7,565","23,704","126,951","103,247","-31,079","16,105","-47,184",833,"1,640","13,097","11,457",-760,737,"-1,497"
"..Montgomery County-Bucks County-Chester County, PA Metro Division","59,945","28,001","186,504","158,503","33,544","37,079","-3,535","7,352","1,452","19,588","18,136","6,044","3,015","3,029"
"..Philadelphia, PA Metro Division","66,042","83,883","267,807","183,924","-16,558","92,611","-109,169","1,988","6,375","27,440","21,065","-4,276","6,901","-11,177"
"..Wilmington, DE-MD-NJ Metro Division","18,335","19,727","77,053","57,326",-866,"10,837","-11,703","1,053","1,406","8,082","6,676",-333,66,-399
".Phoenix-Mesa-Chandler, AZ Metro Area","755,074","247,209","540,924","293,715","505,500","106,785","398,715","98,994","20,937","57,290","36,353","77,664","6,007","71,657"
".Pine Bluff, AR Metro Area","-12,485",188,"10,145","9,957","-12,826",182,"-13,008","-1,442",-98,963,"1,061","-1,346",6,"-1,352"
".Pittsburgh, PA Metro Area","-38,694","-35,527","218,159","253,686","-1,150","30,654","-31,804","-5,053","-4,817","22,570","27,387",-103,"2,555","-2,658"
".Pittsfield, MA Metro Area","-6,330","-3,812","9,885","13,697","-2,447","2,422","-4,869",-957,-467,993,"1,460",-487,175,-662
".Pocatello, ID Metro Area","4,828","5,945","12,890","6,945","-1,126","1,771","-2,897","1,115",515,"1,285",770,598,65,533
".Portland-South Portland, ME Metro Area","24,392",762,"45,771","45,009","23,980","6,493","17,487","3,268",-359,"4,834","5,193","3,637",463,"3,174"
".Portland-Vancouver-Hillsboro, OR-WA Metro Area","266,409","96,518","253,110","156,592","169,456","47,983","121,473","19,062","7,746","26,204","18,458","11,334","2,960","8,374"
".Port St. Lucie, FL Metro Area","65,190","-6,266","39,334","45,600","71,121","8,993","62,128","8,130","-1,187","4,340","5,527","9,292",674,"8,618"
".Poughkeepsie-Newburgh-Middletown, NY Metro Area","8,878","22,759","69,991","47,232","-13,931","7,540","-21,471","3,093","1,978","7,627","5,649","1,154",377,777
".Prescott Valley-Prescott, AZ Metro Area","24,082","-9,511","17,021","26,532","33,299",303,"32,996","3,327","-1,260","1,782","3,042","4,564",-72,"4,636"
".Providence-Warwick, RI-MA Metro Area","23,372","13,788","152,794","139,006","10,512","49,015","-38,503","2,199",993,"16,182","15,189","1,270","4,455","-3,185"
".Provo-Orem, UT Metro Area","121,367","90,108","112,018","21,910","31,402","7,531","23,871","15,103","9,594","12,092","2,498","5,473",973,"4,500"
".Pueblo, CO Metro Area","9,361","1,417","17,214","15,797","8,038",458,"7,580","1,002",-26,"1,808","1,834","1,033",65,968
".Punta Gorda, FL Metro Area","28,943","-13,671","9,494","23,165","42,167","2,281","39,886","4,061","-1,794","1,047","2,841","5,834",160,"5,674"
".Racine, WI Metro Area",883,"5,764","21,964","16,200","-4,815",747,"-5,562",-46,593,"2,257","1,664",-637,-4,-633
".Raleigh-Cary, NC Metro Area","260,292","78,009","144,250","66,241","180,756","34,019","146,737","29,195","7,260","15,730","8,470","21,865","3,389","18,476"
".Rapid City, SD Metro Area","15,707","7,137","16,847","9,710","8,515","1,048","7,467","1,953",625,"1,752","1,127","1,318",-22,"1,340"
".Reading, PA Metro Area","9,594","8,976","44,567","35,591",764,"13,606","-12,842",635,823,"4,708","3,885",-177,694,-871
".Redding, CA Metro Area","2,859","-1,229","19,093","20,322","4,297","1,965","2,332",371,-320,"1,977","2,297",707,193,514
".Reno, NV Metro Area","50,200","14,812","49,609","34,797","35,266",-307,"35,573","7,307","1,217","5,270","4,053","6,045",-391,"6,436"
".Richmond, VA Metro Area","105,429","39,426","135,249","95,823","66,135","27,868","38,267","10,847","3,607","14,752","11,145","7,285","1,641","5,644"
".Riverside-San Bernardino-Ontario, CA Metro Area","425,683","289,072","560,691","271,619","138,230","26,965","111,265","38,089","25,452","58,823","33,371","12,721",465,"12,256"
".Roanoke, VA Metro Area","4,556","-2,224","30,071","32,295","6,997","5,798","1,199",189,-670,"3,040","3,710",883,349,534
".Rochester, MN Metro Area","15,033","12,126","26,680","14,554","3,014","5,386","-2,372","2,107","1,142","2,813","1,671",969,449,520
".Rochester, NY Metro Area","-10,060","16,070","105,986","89,916","-25,978","20,870","-46,848","-1,977",983,"10,865","9,882","-2,947",885,"-3,832"
".Rockford, IL Metro Area","-13,315","8,421","38,636","30,215","-21,938","3,511","-25,449",-994,664,"4,009","3,345","-1,660",331,"-1,991"
".Rocky Mount, NC Metro Area","-6,598",580,"15,786","15,206","-7,205",380,"-7,585",-308,-25,"1,650","1,675",-278,47,-325
".Rome, GA Metro Area","2,184","1,210","10,991","9,781","1,035","1,375",-340,534,-7,"1,133","1,140",543,152,391
".Sacramento-Roseville-Folsom, CA Metro Area","214,580","94,910","252,144","157,234","120,948","51,225","69,723","21,790","7,819","26,752","18,933","13,994","4,053","9,941"
".Saginaw, MI Metro Area","-9,630","1,529","20,833","19,304","-11,236","1,809","-13,045",-252,50,"2,188","2,138",-296,125,-421
".St. Cloud, MN Metro Area","12,871","11,239","23,588","12,349","1,686","5,396","-3,710","1,798","1,203","2,577","1,374",602,606,-4
".St. George, UT Metro Area","39,441","9,223","20,632","11,409","29,998",100,"29,898","5,989",876,"2,244","1,368","5,085",57,"5,028"
".St. Joseph, MO-KS Metro Area","-2,096","1,972","14,117","12,145","-4,042","1,720","-5,762",-775,186,"1,425","1,239",-959,157,"-1,116"
".St. Louis, MO-IL Metro Area","15,477","68,389","310,273","241,884","-52,131","32,872","-85,003",-730,"4,017","31,686","27,669","-4,694","2,991","-7,685"
".Salem, OR Metro Area","43,165","17,354","48,852","31,498","26,003","2,479","23,524","3,499","1,662","5,258","3,596","1,840",73,"1,767"
".Salinas, CA Metro Area","19,002","35,696","58,879","23,183","-16,579","3,403","-19,982",111,"3,055","5,797","2,742","-2,940",-90,"-2,850"
".Salisbury, MD-DE Metro Area","41,972",-505,"38,714","39,219","42,177","4,614","37,563","5,727",-629,"4,170","4,799","6,327",162,"6,165"
".Salt Lake City, UT Metro Area","144,888","109,213","171,087","61,874","36,389","31,265","5,124","14,015","10,461","17,555","7,094","3,586","3,667",-81
".San Angelo, TX Metro Area","9,059","4,943","14,767","9,824","4,081",492,"3,589","1,193",425,"1,525","1,100",766,-46,812
".San Antonio-New Braunfels, TX Metro Area","408,440","146,693","300,032","153,339","259,857","45,348","214,509","38,581","14,041","32,592","18,551","24,491","2,504","21,987"
".San Diego-Chula Vista-Carlsbad, CA Metro Area","242,981","204,933","398,611","193,678","40,821","107,098","-66,277","4,469","17,551","40,603","23,052","-12,998","6,733","-19,731"
".San Francisco-Oakland-Berkeley, CA Metro Area","396,210","202,172","477,380","275,208","194,735","231,599","-36,864","5,489","17,174","50,140","32,966","-11,590","19,996","-31,586"
"..Oakland-Berkeley-Livermore, CA Metro Division","265,393","131,117","291,168","160,051","134,876","130,281","4,595","7,580","11,276","30,698","19,422","-3,667","11,456","-15,123"
"..San Francisco-San Mateo-Redwood City, CA Metro Division","124,421","67,587","164,991","97,404","56,780","95,790","-39,010","-1,255","5,747","17,293","11,546","-6,939","8,108","-15,047"
"..San Rafael, CA Metro Division","6,396","3,468","21,221","17,753","3,079","5,528","-2,449",-836,151,"2,149","1,998",-984,432,"-1,416"
".San Jose-Sunnyvale-Santa Clara, CA Metro Area","153,709","126,304","220,891","94,587","28,415","152,520","-124,105","-3,144","10,905","22,487","11,582","-14,124","13,371","-27,495"
".San Luis Obispo-Paso Robles, CA Metro Area","13,514","2,358","24,056","21,698","11,234",925,"10,309",-243,23,"2,488","2,465",-252,-7,-245
".Santa Cruz-Watsonville, CA Metro Area","10,863","10,582","26,748","16,166",384,"1,760","-1,376",-628,655,"2,540","1,885","-1,280",59,"-1,339"
".Santa Fe, NM Metro Area","6,126","1,686","12,092","10,406","4,578","2,090","2,488",597,-2,"1,189","1,191",605,63,542
".Santa Maria-Santa Barbara, CA Metro Area","22,552","23,723","52,100","28,377",-925,"9,058","-9,983",719,"2,102","5,390","3,288","-1,371",553,"-1,924"
".Santa Rosa-Petaluma, CA Metro Area","10,475","8,237","45,881","37,644","2,497","3,206",-709,"-4,307",130,"4,509","4,379","-4,437",97,"-4,534"
".Savannah, GA Metro Area","45,756","19,377","47,201","27,824","26,251","6,261","19,990","3,900","1,579","4,885","3,306","2,345",331,"2,014"
".Scranton--Wilkes-Barre, PA Metro Area","-9,719","-12,308","52,222","64,530","3,012","14,117","-11,105","-1,330","-1,267","5,537","6,804",-40,"1,130","-1,170"
".Seattle-Tacoma-Bellevue, WA Metro Area","540,037","201,727","426,466","224,739","338,123","198,637","139,486","44,666","19,628","46,679","27,051","25,048","21,247","3,801"
"..Seattle-Bellevue-Kent, WA Metro Division","430,279","155,468","321,252","165,784","274,525","183,553","90,972","33,442","15,414","35,181","19,767","18,056","20,199","-2,143"
"..Tacoma-Lakewood, WA Metro Division","109,758","46,259","105,214","58,955","63,598","15,084","48,514","11,224","4,214","11,498","7,284","6,992","1,048","5,944"
".Sebastian-Vero Beach, FL Metro Area","21,895","-6,260","11,703","17,963","27,992","2,343","25,649","2,736",-894,"1,283","2,177","3,612",205,"3,407"
".Sebring-Avon Park, FL Metro Area","7,437","-5,745","8,302","14,047","13,232","3,261","9,971","1,288",-773,854,"1,627","2,057",258,"1,799"
".Sheboygan, WI Metro Area",-172,"1,572","11,653","10,081","-1,697",754,"-2,451",107,147,"1,226","1,079",-35,41,-76
".Sherman-Denison, TX Metro Area","15,335","1,360","14,334","12,974","14,009","1,313","12,696","2,425",136,"1,630","1,494","2,283",90,"2,193"
".Shreveport-Bossier City, LA Metro Area","-3,900","14,744","52,173","37,429","-18,770","2,461","-21,231","-2,575",770,"4,920","4,150","-3,344",57,"-3,401"
".Sierra Vista-Douglas, AZ Metro Area","-5,437","2,604","14,452","11,848","-8,272","2,499","-10,771",-489,36,"1,348","1,312",-529,66,-595
".Sioux City, IA-NE-SD Metro Area","1,119","7,700","19,546","11,846","-6,632","2,085","-8,717",914,816,"2,012","1,196",105,122,-17
".Sioux Falls, SD Metro Area","39,968","19,508","35,744","16,236","20,333","6,431","13,902","4,422","2,108","3,931","1,823","2,307",260,"2,047"
".South Bend-Mishawaka, IN-MI Metro Area","4,410","8,202","36,905","28,703","-3,668","5,192","-8,860",916,936,"3,925","2,989",-13,797,-810
".Spartanburg, SC Metro Area","35,481","6,361","33,877","27,516","29,139","1,679","27,460","5,648",719,"3,897","3,178","4,914",242,"4,672"
".Spokane-Spokane Valley, WA Metro Area","53,769","14,182","59,155","44,973","39,814","6,035","33,779","9,694","1,027","6,314","5,287","8,637",486,"8,151"
".Springfield, IL Metro Area","-3,302","3,309","22,393","19,084","-6,530","2,178","-8,708","-1,060",95,"2,323","2,228","-1,158",199,"-1,357"
".Springfield, MA Metro Area","4,323","4,448","63,385","58,937",-85,"30,334","-30,419","-2,756",-71,"6,474","6,545","-2,685",959,"-3,644"
".Springfield, MO Metro Area","33,544","13,234","52,176","38,942","20,399","2,408","17,991","4,027","1,068","5,478","4,410","2,957",220,"2,737"
".Springfield, OH Metro Area","-4,256","-1,117","14,729","15,846","-3,061",459,"-3,520",-445,-107,"1,554","1,661",-332,23,-355
".State College, PA Metro Area","8,380","2,310","11,320","9,010","6,069","9,416","-3,347",-216,42,"1,147","1,105",-266,835,"-1,101"
".Staunton, VA Metro Area","4,624",-682,"11,545","12,227","5,343","1,059","4,284",492,-127,"1,229","1,356",623,99,524
".Stockton, CA Metro Area","76,842","44,384","93,390","49,006","32,797","10,082","22,715","9,657","4,137","9,975","5,838","5,529",687,"4,842"
".Sumter, SC Metro Area","-1,968","3,100","16,598","13,498","-5,029","1,120","-6,149",315,162,"1,645","1,483",161,88,73
".Syracuse, NY Metro Area","-14,031","11,737","66,531","54,794","-25,820","13,114","-38,934","-1,688",895,"6,827","5,932","-2,588",885,"-3,473"
".Tallahassee, FL Metro Area","18,456","12,475","37,381","24,906","5,788","6,407",-619,"2,909","1,066","3,955","2,889","1,848",465,"1,383"
".Tampa-St. Petersburg-Clearwater, FL Metro Area","411,346","12,252","294,083","281,831","397,215","104,814","292,401","40,182","-1,691","32,154","33,845","41,798","7,171","34,627"
