City,Tech_2010
"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",786998
"East Stroudsburg, PA (Metropolitan Statistical Area)",97378
"Eau Claire, WI (Metropolitan Statistical Area)",137402
"El Centro, CA (Metropolitan Statistical Area)",54924
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",(D)
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",82225
"Elmira, NY (Metropolitan Statistical Area)",93411
"El Paso, TX (Metropolitan Statistical Area)",(D)
"Enid, OK (Metropolitan Statistical Area)",31897
"Erie, PA (Metropolitan Statistical Area)",255901
"Eugene-Springfield, OR (Metropolitan Statistical Area)",532761
"Evansville, IN-KY (Metropolitan Statistical Area)",373715
"Fairbanks, AK (Metropolitan Statistical Area) *",49400
"Fargo, ND-MN (Metropolitan Statistical Area)",644826
"Farmington, NM (Metropolitan Statistical Area)",(D)
"Fayetteville, NC (Metropolitan Statistical Area)",(D)
"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",259265
"Flagstaff, AZ (Metropolitan Statistical Area)",57182
"Flint, MI (Metropolitan Statistical Area)",702039
"Florence, SC (Metropolitan Statistical Area)",135355
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",56742
"Fond du Lac, WI (Metropolitan Statistical Area)",117129
"Fort Collins, CO (Metropolitan Statistical Area)",377695
"Fort Smith, AR-OK (Metropolitan Statistical Area)",174779
"Fort Wayne, IN (Metropolitan Statistical Area)",662378
"Fresno, CA (Metropolitan Statistical Area)",835700
"Gadsden, AL (Metropolitan Statistical Area)",53910
"Gainesville, FL (Metropolitan Statistical Area)",298875
"Gainesville, GA (Metropolitan Statistical Area)",86758
"Gettysburg, PA (Metropolitan Statistical Area)",69300
"Glens Falls, NY (Metropolitan Statistical Area)",182272
"Goldsboro, NC (Metropolitan Statistical Area)",51666
"Grand Forks, ND-MN (Metropolitan Statistical Area)",84120
"Grand Island, NE (Metropolitan Statistical Area)",42035
"Grand Junction, CO (Metropolitan Statistical Area)",126790
"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",861297
"Grants Pass, OR (Metropolitan Statistical Area)",43615
"Great Falls, MT (Metropolitan Statistical Area)",100202
"Greeley, CO (Metropolitan Statistical Area) *",223019
"Green Bay, WI (Metropolitan Statistical Area)",393743
"Greensboro-High Point, NC (Metropolitan Statistical Area)",941700
"Greenville, NC (Metropolitan Statistical Area)",161924
"Greenville-Anderson, SC (Metropolitan Statistical Area)",1120706
"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",251468
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",397961
"Hammond, LA (Metropolitan Statistical Area)",58057
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",27469
