"","City","State","Region","Political_Leaning","Population_Change_Decade","Natural_Increase_Decade","Births_Decade","Deaths_Decade","Total_Decade","International_Decade","Domestic_Decade","Population_Change_Annual","Natural_Increase_Annual","Births_Annual","Deaths_Annual","Total._Annual","International_Annual","Domestic_Annual","City_data","GDP_2010","GDP_2018","Population_2010","Population_2018","Decade_GDP_Change","Population_Percent_Change","GDP_Percent_Change"
"232"," Minneapolis"," MN","  Midwest"," BLUE",306415,209124,419634,210510,99485,87847,11638,29982,20312,44602,24290,9847,6645,3202,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",197700163000,237140794000,3340007,3610061,39440631000,1.0808543215628,1.19949721032855
"233"," Missoula"," MT","  West"," RED",10304,3212,11126,7914,7109,1271,5838,960,244,1131,887,715,112,603,"Missoula, MT (Metropolitan Statistical Area)",4302191000,5004429000,109467,118640,702238000,1.08379694337106,1.16322799243455
"234"," Mobile"," AL","  South"," RED",-1183,11538,53087,41549,-12486,4885,-17371,-774,841,5608,4767,-1606,280,-1886,"Mobile, AL (Metropolitan Statistical Area)",18403592000,18683075000,430941,430310,279483000,0.998535762436157,1.01518632884276
"235"," Modesto"," CA","  West"," BLUE",36210,32649,70420,37771,3879,4607,-728,2534,3076,7393,4317,-535,144,-679,"Modesto, CA (Metropolitan Statistical Area)",18274699000,23160773000,515145,548126,4886074000,1.06402275087597,1.26736823408145
"236"," Monroe"," LA","  South"," RED",-4226,6291,26371,20080,-10438,779,-11217,-1877,363,2606,2243,-2241,44,-2285,"Monroe, LA (Metropolitan Statistical Area)",7371500000,8514155000,204675,202138,1142655000,0.987604739220716,1.15500983517602
"237"," Monroe"," MI","  Midwest"," RED",-1531,841,14053,13212,-2352,285,-2637,326,-22,1459,1481,359,-10,369,"Monroe, MI (Metropolitan Statistical Area)",5295498000,5644944000,151936,150174,349446000,0.98840301179444,1.06598926106666
"238"," Montgomery"," AL","  South"," RED",-1250,12067,44789,32722,-13366,4233,-17599,268,1063,4730,3667,-792,329,-1121,"Montgomery, AL (Metropolitan Statistical Area)",15437132000,16226932000,375119,373022,789800000,0.994409773965062,1.05116235321431
"239"," Morgantown"," WV","  South"," RED",9342,3498,13166,9668,5765,3321,2444,-160,285,1380,1095,-440,-26,-414,"Morgantown, WV (Metropolitan Statistical Area)",6337272000,6869987000,130308,139204,532715000,1.06826902415815,1.08406061788101
"240"," Morristown"," TN","  South"," RED",5891,-1020,13994,15014,6971,839,6132,971,-213,1475,1688,1184,72,1112,"Morristown, TN (Metropolitan Statistical Area)",4012065000,4694391000,136945,141778,682326000,1.03529154039943,1.17006853079399
"241"," Mount Vernon"," WA","  West"," BLUE",12313,2574,13426,10852,9769,1610,8159,1370,166,1431,1265,1200,170,1030,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",6320188000,7469437000,116944,127835,1149249000,1.09313004514982,1.1818377871038
"242"," Muncie"," IN","  Midwest"," RED",-3535,-272,11071,11343,-3241,1422,-4663,-162,-106,1081,1187,-53,180,-233,"Muncie, IN (Metropolitan Statistical Area)",3474690000,3872532000,117665,114297,397842000,0.971376365104322,1.11449712060644
"243"," Muskegon"," MI","  Midwest"," RED",1372,3782,19514,15732,-2385,547,-2932,-33,301,2071,1770,-330,32,-362,"Muskegon, MI (Metropolitan Statistical Area)",5251946000,6004546000,171913,173599,752600000,1.00980728624362,1.1432992646916
"244"," Myrtle Beach"," SC","  South"," RED",120326,-3999,38280,42279,122581,2288,120293,15916,-1429,4188,5617,17201,257,16944,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",12247642000,14851812000,378343,480985,2604170000,1.27129350880022,1.21262623450294
"245"," Napa"," CA","  West"," BLUE",1209,1784,13062,11278,-469,1157,-1626,-1045,-44,1235,1279,-998,-13,-985,"Napa, CA (Metropolitan Statistical Area)",7826910000,9999759000,136759,138789,2172849000,1.01484363003532,1.27761262107268
"246"," Naples"," FL","  South"," RED",63380,109,29806,29697,63056,20167,42889,6701,-707,3160,3867,7391,1906,5485,"Naples-Marco Island, FL (Metropolitan Statistical Area)",12562749000,15760299000,322581,378201,3197550000,1.17242181033601,1.25452629834441
"247"," Nashville-Davidson--Murfreesboro"," TN","  South"," RED",288134,88741,216969,128228,197758,39422,158336,29591,9186,24308,15122,20419,4937,15482,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",86119433000,117839496000,1650831,1904726,31720063000,1.15379829915964,1.36832642639438
"248"," New Bern"," NC","  South"," RED",-2524,3352,15570,12218,-5909,2182,-8091,-300,200,1510,1310,-491,20,-511,"New Bern, NC (Metropolitan Statistical Area)",4979283000,4807337000,127423,124584,-171946000,0.977719877887038,0.965467718946684
"249"," New Haven"," CT","  Northeast"," BLUE",-7685,10560,81952,71392,-18293,32843,-51136,-2214,625,8512,7887,-2858,2740,-5598,"New Haven-Milford, CT (Metropolitan Statistical Area)",47192971000,48060270000,863357,856971,867299000,0.992603291569999,1.01837771561362
"250"," New Orleans"," LA","  South"," RED",80639,43608,145792,102184,36032,20800,15232,397,2990,15084,12094,-2550,1682,-4232,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",91856971000,74217802000,1195324,1270133,-17639169000,1.06258470506741,0.807971362347666
"251"," New York"," NY","  Northeast"," BLUE",319905,932102,2218113,1286011,-611662,837005,-1448667,-60462,76764,228660,151896,-137415,58630,-196045,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1346931810000,1532202227000,18923407,19276644,185270417000,1.01866667033056,1.13754996030571
"252"," Niles"," MI","  Midwest"," RED",-3407,733,16572,15839,-4107,3175,-7282,-389,8,1696,1688,-392,216,-608,"Niles, MI (Metropolitan Statistical Area)",6309528000,6877563000,156737,153790,568035000,0.98119780268858,1.09002812888698
"253"," North Port"," FL","  South"," RED",134683,-26920,58378,85298,160197,17686,142511,16279,-4144,6317,10461,20333,1434,18899,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",24048098000,30413978000,703354,820716,6365880000,1.16686049983365,1.26471449010229
"254"," Norwich"," CT","  Northeast"," BLUE",-8864,2357,24643,22286,-11261,6111,-17372,-1079,-19,2502,2521,-1059,326,-1385,"Norwich-New London, CT (Metropolitan Statistical Area)",17236944000,17084801000,274004,266285,-152143000,0.971828878410534,0.991173435383906
"255"," Ocala"," FL","  South"," RED",34280,-12786,31649,44435,46967,4122,42845,6517,-1667,3495,5162,8151,15,8136,"Ocala, FL (Metropolitan Statistical Area)",8051095000,9237866000,331331,359062,1186771000,1.08369576043292,1.14740491821299
"256"," Ocean City"," NJ","  Northeast"," BLUE",-5218,-4081,7966,12047,-1037,1060,-2097,-407,-565,734,1299,166,-15,181,"Ocean City, NJ (Metropolitan Statistical Area)",4876428000,4852632000,97212,92446,-23796000,0.950973130889191,0.995120198637199
"257"," Odessa"," TX","  South"," RED",29087,15113,26048,10935,13561,2296,11265,4263,1687,2915,1228,2562,238,2324,"Odessa, TX (Metropolitan Statistical Area)",9303648000,12844718000,137075,161960,3541070000,1.18154295093927,1.38061091735199
"258"," Ogden"," UT","  West"," RED",86702,63341,98076,34735,23625,4772,18853,10204,6365,10133,3768,3835,433,3402,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",21256431000,25916920000,599740,673660,4660489000,1.12325340981092,1.21925077638857
"259"," Oklahoma City"," OK","  South"," RED",155948,65613,171439,105826,89914,24684,65230,15345,5539,17576,12037,9812,1778,8034,"Oklahoma City, OK (Metropolitan Statistical Area)",60373981000,79667931000,1257793,1393605,19293950000,1.107976431734,1.31957392374043
"260"," Olympia"," WA","  West"," BLUE",38276,9076,28792,19716,29233,4982,24251,4480,758,3135,2377,3713,362,3351,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",10330905000,12398258000,253001,286056,2067353000,1.13065165750333,1.20011344601465
"261"," Omaha"," NE","  Midwest"," RED",84095,60276,122306,62030,24322,16785,7537,8472,5917,12848,6931,2585,1517,1068,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",48022260000,56187854000,867671,940970,8165594000,1.08447787237328,1.17003768668946
"262"," Orlando"," FL","  South"," RED",473748,103875,259676,155801,368588,181996,186592,33309,10064,29522,19458,23227,9517,13710,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",96239638000,124173982000,2139161,2574838,27934344000,1.20366723215317,1.29025819901775
"263"," Oshkosh"," WI","  Midwest"," RED",4907,3727,17264,13537,1311,1101,210,1029,286,1783,1497,748,65,683,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",8772064000,9274302000,167073,170878,502238000,1.02277447582793,1.0572542562389
"264"," Owensboro"," KY","  South"," RED",4694,2968,14338,11370,1824,1091,733,561,282,1516,1234,283,42,241,"Owensboro, KY (Metropolitan Statistical Area)",5037880000,5222498000,114770,118879,184618000,1.03580203886033,1.03664597013029
"265"," Oxnard"," CA","  West"," BLUE",22608,41771,93266,51495,-18720,7250,-25970,-2136,2920,9161,6241,-5053,140,-5193,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",47693529000,53439240000,825097,848142,5745711000,1.02793004943661,1.12047150044192
"266"," Palm Bay"," FL","  South"," RED",58570,-15771,47809,63580,74263,9438,64825,6739,-2210,5258,7468,8938,429,8509,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",20512115000,23437467000,543965,595203,2925352000,1.09419356024744,1.14261581509269
"267"," Panama City"," FL","  South"," RED",5855,3934,20996,17062,1770,3938,-2168,-11535,233,2222,1989,-11803,277,-12080,"Panama City, FL (Metropolitan Statistical Area)",7175205000,7606775000,169206,186240,431570000,1.10067018900039,1.06014741042242
"268"," Parkersburg"," WV","  South"," RED",-3328,-1046,9349,10395,-2196,-122,-2074,-652,-216,916,1132,-437,-24,-413,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",3634579000,3408239000,92698,89991,-226340000,0.970797643962114,0.937725937446951
"269"," Pensacola"," FL","  South"," RED",53638,10215,53258,43043,43221,6040,37181,8230,547,5775,5228,7649,136,7513,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",16050481000,17968560000,450946,494399,1918079000,1.09635965281874,1.11950289838666
"270"," Peoria"," IL","  Midwest"," BLUE",-15692,7578,47244,39666,-23246,3815,-27061,-2767,382,4733,4351,-3149,339,-3488,"Peoria, IL (Metropolitan Statistical Area)",22787199000,22889895000,416051,403328,102696000,0.96941961442227,1.00450674082409
"271"," Philadelphia"," PA","  Northeast"," RED",136757,155315,658315,503000,-14959,156632,-171591,11226,10873,68207,57334,675,10719,-10044,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",355280273000,398674377000,5970899,6091208,43394104000,1.02014922710969,1.12214048259302
"272"," Phoenix"," AZ","  West"," RED",755074,247209,540924,293715,505500,106785,398715,98994,20937,57290,36353,77664,6007,71657,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",181027408000,227741337000,4204204,4849209,46713929000,1.15341905388035,1.25804893035866
"273"," Pine Bluff"," AR","  South"," RED",-12485,188,10145,9957,-12826,182,-13008,-1442,-98,963,1061,-1346,6,-1352,"Pine Bluff, AR (Metropolitan Statistical Area)",3716342000,3345604000,100107,89246,-370738000,0.891506088485321,0.90024115111042
"274"," Pittsburgh"," PA","  Northeast"," RED",-38694,-35527,218159,253686,-1150,30654,-31804,-5053,-4817,22570,27387,-103,2555,-2658,"Pittsburgh, PA (Metropolitan Statistical Area)",120154459000,138410497000,2357090,2322653,18256038000,0.98539003601899,1.15193808163208
"275"," Pittsfield"," MA","  Northeast"," BLUE",-6330,-3812,9885,13697,-2447,2422,-4869,-957,-467,993,1460,-487,175,-662,"Pittsfield, MA (Metropolitan Statistical Area)",5999044000,6659360000,131317,125901,660316000,0.958756292026166,1.11007020451925
"276"," Pocatello"," ID","  West"," RED",4828,5945,12890,6945,-1126,1771,-2897,1115,515,1285,770,598,65,533,"Pocatello, ID (Metropolitan Statistical Area)",2953888000,3163717000,90892,94374,209829000,1.03830920213,1.07103485304792
"277"," Portland"," ME","  Northeast"," BLUE",24392,762,45771,45009,23980,6493,17487,3268,-359,4834,5193,3637,463,3174,"Portland-South Portland, ME (Metropolitan Statistical Area)",25104612000,28249782000,513911,535232,3145170000,1.0414877284199,1.12528255764319
"278"," Portland"," OR","  West"," BLUE",266409,96518,253110,156592,169456,47983,121473,19062,7746,26204,18458,11334,2960,8374,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",113249723000,150033141000,2232181,2473350,36783418000,1.1080418657806,1.32479918736755
"279"," Port St. Lucie"," FL","  South"," RED",65190,-6266,39334,45600,71121,8993,62128,8130,-1187,4340,5527,9292,674,8618,"Port St. Lucie, FL (Metropolitan Statistical Area)",13516782000,15258742000,425173,481167,1741960000,1.13169697981763,1.12887386953492
"280"," Poughkeepsie"," NY","  Northeast"," BLUE",8878,22759,69991,47232,-13931,7540,-21471,3093,1978,7627,5649,1154,377,777,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",26255212000,27992552000,671173,676065,1737340000,1.00728873181728,1.06617124249463
"281"," Prescott Valley"," AZ","  West"," RED",24082,-9511,17021,26532,33299,303,32996,3327,-1260,1782,3042,4564,-72,4636,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",5547655000,6481866000,210983,231772,934211000,1.09853400510942,1.16839745802506
"282"," Providence"," RI","  Northeast"," BLUE",23372,13788,152794,139006,10512,49015,-38503,2199,993,16182,15189,1270,4455,-3185,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",72665966000,77516675000,1603125,1622379,4850709000,1.01201029239766,1.0667535197977
"283"," Provo"," UT","  West"," RED",121367,90108,112018,21910,31402,7531,23871,15103,9594,12092,2498,5473,973,4500,"Provo-Orem, UT (Metropolitan Statistical Area)",16573753000,24664624000,530262,633149,8090871000,1.19403049813111,1.48817374073331
"284"," Pueblo"," CO","  West"," BLUE",9361,1417,17214,15797,8038,458,7580,1002,-26,1808,1834,1033,65,968,"Pueblo, CO (Metropolitan Statistical Area)",5274674000,6084945000,159390,167422,810271000,1.05039211995734,1.15361537035275
"285"," Punta Gorda"," FL","  South"," RED",28943,-13671,9494,23165,42167,2281,39886,4061,-1794,1047,2841,5834,160,5674,"Punta Gorda, FL (Metropolitan Statistical Area)",3894681000,4670656000,159875,184849,775975000,1.15620953870211,1.19923968099056
"286"," Racine"," WI","  Midwest"," RED",883,5764,21964,16200,-4815,747,-5562,-46,593,2257,1664,-637,-4,-633,"Racine, WI (Metropolitan Statistical Area)",8280083000,8450197000,195406,196357,170114000,1.00486679017021,1.02054496313624
"287"," Raleigh"," NC","  South"," RED",260292,78009,144250,66241,180756,34019,146737,29195,7260,15730,8470,21865,3389,18476,"Raleigh-Cary, NC (Metropolitan Statistical Area)",55357585000,76127645000,1137383,1361590,20770060000,1.19712533069335,1.37519808712754
"288"," Rapid City"," SD","  Midwest"," RED",15707,7137,16847,9710,8515,1048,7467,1953,625,1752,1127,1318,-22,1340,"Rapid City, SD (Metropolitan Statistical Area)",4984398000,5848877000,126727,140154,864479000,1.10595216488988,1.17343699279231
"289"," Reading"," PA","  Northeast"," RED",9594,8976,44567,35591,764,13606,-12842,635,823,4708,3885,-177,694,-871,"Reading, PA (Metropolitan Statistical Area)",16248607000,18443415000,412039,420529,2194808000,1.02060484565781,1.13507668688153
"290"," Redding"," CA","  West"," BLUE",2859,-1229,19093,20322,4297,1965,2332,371,-320,1977,2297,707,193,514,"Redding, CA (Metropolitan Statistical Area)",6778074000,7655080000,177274,179709,877006000,1.01373579881991,1.12938867294751
"291"," Reno"," NV","  West"," BLUE",50200,14812,49609,34797,35266,-307,35573,7307,1217,5270,4053,6045,-391,6436,"Reno, NV (Metropolitan Statistical Area)",21493955000,24441835000,425951,468335,2947880000,1.09950440308862,1.13714925894281
"292"," Richmond"," VA","  South"," BLUE",105429,39426,135249,95823,66135,27868,38267,10847,3607,14752,11145,7285,1641,5644,"Richmond, VA (Metropolitan Statistical Area) *",66830500000,75517193000,1188246,1281053,8686693000,1.07810419727901,1.12998096677415
"293"," Riverside"," CA","  West"," BLUE",425683,289072,560691,271619,138230,26965,111265,38089,25452,58823,33371,12721,465,12256,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",128214518000,164892302000,4242424,4612542,36677784000,1.08724210498526,1.28606576362905
"294"," Roanoke"," VA","  South"," BLUE",4556,-2224,30071,32295,6997,5798,1199,189,-670,3040,3710,883,349,534,"Roanoke, VA (Metropolitan Statistical Area) *",14679161000,15119632000,308589,313033,440471000,1.0144010317931,1.03000655146435
"295"," Rochester"," MN","  Midwest"," BLUE",15033,12126,26680,14554,3014,5386,-2372,2107,1142,2813,1671,969,449,520,"Rochester, MN (Metropolitan Statistical Area)",10627736000,12681156000,207222,219814,2053420000,1.06076574881045,1.19321330526088
"296"," Rochester"," NY","  Northeast"," BLUE",-10060,16070,105986,89916,-25978,20870,-46848,-1977,983,10865,9882,-2947,885,-3832,"Rochester, NY (Metropolitan Statistical Area)",54613702000,56811269000,1079974,1071621,2197567000,0.992265554541128,1.04023838193573
"297"," Rockford"," IL","  Midwest"," BLUE",-13315,8421,38636,30215,-21938,3511,-25449,-994,664,4009,3345,-1660,331,-1991,"Rockford, IL (Metropolitan Statistical Area)",13939544000,14788731000,349184,337110,849187000,0.965422241568915,1.06091928114722
"298"," Rocky Mount"," NC","  South"," RED",-6598,580,15786,15206,-7205,380,-7585,-308,-25,1650,1675,-278,47,-325,"Rocky Mount, NC (Metropolitan Statistical Area)",6259993000,9010568000,152405,146078,2750575000,0.958485613989042,1.43938946896586
"299"," Rome"," GA","  South"," RED",2184,1210,10991,9781,1035,1375,-340,534,-7,1133,1140,543,152,391,"Rome, GA (Metropolitan Statistical Area)",3820200000,3787411000,96431,97964,-32789000,1.01589737739938,0.991416941521386
"300"," Sacramento"," CA","  West"," BLUE",214580,94910,252144,157234,120948,51225,69723,21790,7819,26752,18933,13994,4053,9941,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",101326243000,128649231000,2153613,2341940,27322988000,1.08744700185224,1.26965361777008
"301"," Saginaw"," MI","  Midwest"," RED",-9630,1529,20833,19304,-11236,1809,-13045,-252,50,2188,2138,-296,125,-421,"Saginaw, MI (Metropolitan Statistical Area)",7314474000,8120484000,199862,190791,806010000,0.954613683441575,1.11019384305693
"302"," St. Cloud"," MN","  Midwest"," BLUE",12871,11239,23588,12349,1686,5396,-3710,1798,1203,2577,1374,602,606,-4,"St. Cloud, MN (Metropolitan Statistical Area)",8315338000,9522149000,189218,200166,1206811000,1.05785918887209,1.14513072108434
"303"," St. George"," UT","  West"," RED",39441,9223,20632,11409,29998,100,29898,5989,876,2244,1368,5085,57,5028,"St. George, UT (Metropolitan Statistical Area)",3484777000,5347692000,138389,171567,1862915000,1.23974448836251,1.5345865746933
"304"," St. Joseph"," MO","  Midwest"," RED",-2096,1972,14117,12145,-4042,1720,-5762,-775,186,1425,1239,-959,157,-1116,"St. Joseph, MO-KS (Metropolitan Statistical Area)",5108954000,5108174000,127271,125998,-780000,0.989997721397648,0.999847326869649
"305"," St. Louis"," MO","  Midwest"," RED",15477,68389,310273,241884,-52131,32872,-85003,-730,4017,31686,27669,-4694,2991,-7685,"St. Louis, MO-IL (Metropolitan Statistical Area)",145227408000,152060042000,2789989,2803958,6832634000,1.00500682977603,1.04704782722556
"306"," Salem"," OR","  West"," BLUE",43165,17354,48852,31498,26003,2479,23524,3499,1662,5258,3596,1840,73,1767,"Salem, OR (Metropolitan Statistical Area)",13231271000,16156484000,391479,430404,2925213000,1.09943062079958,1.2210832957771
"307"," Salinas"," CA","  West"," BLUE",19002,35696,58879,23183,-16579,3403,-19982,111,3055,5797,2742,-2940,-90,-2850,"Salinas, CA (Metropolitan Statistical Area)",21857216000,25834713000,416373,433950,3977497000,1.04221455281683,1.1819763779614
"308"," Salisbury"," MD","  South"," BLUE",41972,-505,38714,39219,42177,4614,37563,5727,-629,4170,4799,6327,162,6165,"Salisbury, MD-DE (Metropolitan Statistical Area)",16222567000,22168321000,374821,409999,5945754000,1.09385279906942,1.36651129257164
"309"," Salt Lake City"," UT","  West"," RED",144888,109213,171087,61874,36389,31265,5124,14015,10461,17555,7094,3586,3667,-81,"Salt Lake City, UT (Metropolitan Statistical Area)",64539182000,82431896000,1091478,1218681,17892714000,1.11654197336089,1.27723800403916
"310"," San Angelo"," TX","  South"," RED",9059,4943,14767,9824,4081,492,3589,1193,425,1525,1100,766,-46,812,"San Angelo, TX (Metropolitan Statistical Area)",5169585000,7555272000,113422,120834,2385687000,1.06534887411613,1.4614852062593
"311"," San Antonio"," TX","  South"," RED",408440,146693,300032,153339,259857,45348,214509,38581,14041,32592,18551,24491,2504,21987,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",85678543000,121139794000,2153009,2512379,35461251000,1.16691523351737,1.41388718526644
"312"," San Diego"," CA","  West"," BLUE",242981,204933,398611,193678,40821,107098,-66277,4469,17551,40603,23052,-12998,6733,-19731,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",174052646000,219361505000,3103212,3333861,45308859000,1.07432589201125,1.26031697903633
"313"," San Francisco"," CA","  West"," BLUE",396210,202172,477380,275208,194735,231599,-36864,5489,17174,50140,32966,-11590,19996,-31586,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",337823829000,497195398000,4343634,4726314,159371569000,1.08810134555536,1.47175940629102
"314"," San Jose"," CA","  West"," BLUE",153709,126304,220891,94587,28415,152520,-124105,-3144,10905,22487,11582,-14124,13371,-27495,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",174393890000,318998478000,1841556,1993804,144604588000,1.08267356518075,1.82918379766631
"315"," San Luis Obispo"," CA","  West"," BLUE",13514,2358,24056,21698,11234,925,10309,-243,23,2488,2465,-252,-7,-245,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",13097558000,16536404000,269802,283354,3438846000,1.0502294275061,1.26255627194016
"316"," Santa Cruz"," CA","  West"," BLUE",10863,10582,26748,16166,384,1760,-1376,-628,655,2540,1885,-1280,59,-1339,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",12268336000,13765700000,263147,273841,1497364000,1.04063888244973,1.1220511078275
"317"," Santa Fe"," NM","  West"," BLUE",6126,1686,12092,10406,4578,2090,2488,597,-2,1189,1191,605,63,542,"Santa Fe, NM (Metropolitan Statistical Area)",6063876000,5825345000,144522,149761,-238531000,1.03625053625054,0.960663608556639
"318"," Santa Maria"," CA","  West"," BLUE",22552,23723,52100,28377,-925,9058,-9983,719,2102,5390,3288,-1371,553,-1924,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",22583327000,27855958000,424231,445780,5272631000,1.05079543927719,1.2334745009006
"319"," Santa Rosa"," CA","  West"," BLUE",10475,8237,45881,37644,2497,3206,-709,-4307,130,4509,4379,-4437,97,-4534,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",22175649000,28565621000,484755,498643,6389972000,1.02864952398634,1.28815264888076
"320"," Savannah"," GA","  South"," RED",45756,19377,47201,27824,26251,6261,19990,3900,1579,4885,3306,2345,331,2014,"Savannah, GA (Metropolitan Statistical Area)",15527469000,19444860000,348640,389453,3917391000,1.11706344653511,1.25228780041358
"321"," Scranton-"," PA","  Northeast"," RED",-9719,-12308,52222,64530,3012,14117,-11105,-1330,-1267,5537,6804,-40,1130,-1170,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",23391205000,26081343000,563740,555215,2690138000,0.984877780537127,1.11500638808475
"322"," Seattle"," WA","  West"," BLUE",540037,201727,426466,224739,338123,198637,139486,44666,19628,46679,27051,25048,21247,3801,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",248903638000,355662749000,3449241,3935179,106759111000,1.14088258837234,1.42891743912558
"323"," Sebastian"," FL","  South"," RED",21895,-6260,11703,17963,27992,2343,25649,2736,-894,1283,2177,3612,205,3407,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",4438674000,5346831000,138270,157187,908157000,1.1368120344254,1.20460096866767
"324"," Sebring"," FL","  South"," RED",7437,-5745,8302,14047,13232,3261,9971,1288,-773,854,1627,2057,258,1799,"Sebring-Avon Park, FL (Metropolitan Statistical Area)",2426578000,2538660000,98635,104933,112082000,1.06385157398489,1.04618932504951
"325"," Sheboygan"," WI","  Midwest"," RED",-172,1572,11653,10081,-1697,754,-2451,107,147,1226,1079,-35,41,-76,"Sheboygan, WI (Metropolitan Statistical Area)",5833112000,6700198000,115524,115233,867086000,0.997481042900177,1.14864895445176
"326"," Sherman"," TX","  South"," RED",15335,1360,14334,12974,14009,1313,12696,2425,136,1630,1494,2283,90,2193,"Sherman-Denison, TX (Metropolitan Statistical Area)",3833752000,4691343000,121034,133787,857591000,1.10536708693425,1.22369495992438
"327"," Shreveport"," LA","  South"," RED",-3900,14744,52173,37429,-18770,2461,-21231,-2575,770,4920,4150,-3344,57,-3401,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",21413817000,22611316000,399935,397281,1197499000,0.993363921637266,1.05592179105668
"328"," Sierra Vista"," AZ","  West"," RED",-5437,2604,14452,11848,-8272,2499,-10771,-489,36,1348,1312,-529,66,-595,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",4683595000,4404134000,131822,126411,-279461000,0.958952223452838,0.94033194586637
"329"," Sioux City"," IA","  Midwest"," RED",1119,7700,19546,11846,-6632,2085,-8717,914,816,2012,1196,105,122,-17,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",7881926000,7629653000,143901,143787,-252273000,0.999207788688056,0.967993482811181
"330"," Sioux Falls"," SD","  Midwest"," RED",39968,19508,35744,16236,20333,6431,13902,4422,2108,3931,1823,2307,260,2047,"Sioux Falls, SD (Metropolitan Statistical Area)",14720192000,17273286000,229099,263810,2553094000,1.15151091886041,1.17344162358752
"331"," South Bend"," IN","  Midwest"," RED",4410,8202,36905,28703,-3668,5192,-8860,916,936,3925,2989,-13,797,-810,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",12272764000,13576257000,319044,322697,1303493000,1.01144983137122,1.10621022289681
"332"," Spartanburg"," SC","  South"," RED",35481,6361,33877,27516,29139,1679,27460,5648,719,3897,3178,4914,242,4672,"Spartanburg, SC (Metropolitan Statistical Area)",11341453000,13481467000,284731,314137,2140014000,1.10327642581946,1.1886895797214
"333"," Spokane"," WA","  West"," BLUE",53769,14182,59155,44973,39814,6035,33779,9694,1027,6314,5287,8637,486,8151,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",20899150000,24586426000,515553,558827,3687276000,1.08393705399833,1.17643186445382
"334"," Springfield"," IL","  Midwest"," BLUE",-3302,3309,22393,19084,-6530,2178,-8708,-1060,95,2323,2228,-1158,199,-1357,"Springfield, IL (Metropolitan Statistical Area)",10340728000,10860798000,210465,207928,520070000,0.987945739196541,1.0502933642583
"335"," Springfield"," MA","  Northeast"," BLUE",4323,4448,63385,58937,-85,30334,-30419,-2756,-71,6474,6545,-2685,959,-3644,"Springfield, MA (Metropolitan Statistical Area)",27622742000,30643846000,694935,700138,3021104000,1.00748703116119,1.10937017041972
"336"," Springfield"," MO","  Midwest"," RED",33544,13234,52176,38942,20399,2408,17991,4027,1068,5478,4410,2957,220,2737,"Springfield, MO (Metropolitan Statistical Area)",16149091000,18040656000,437349,466273,1891565000,1.06613482596279,1.11713136052054
