"","City","State","Region","Political_Leaning","Population_Change_Decade","Natural_Increase_Decade","Births_Decade","Deaths_Decade","Total_Decade","International_Decade","Domestic_Decade","Population_Change_Annual","Natural_Increase_Annual","Births_Annual","Deaths_Annual","Total._Annual","International_Annual","Domestic_Annual","City_data","GDP_2010","GDP_2018","Population_2010","Population_2018","Decade_GDP_Change","Population_Percent_Change","GDP_Percent_Change"
"172"," Jacksonville"," NC","  South"," RED",20137,29255,38784,9529,-10285,7624,-17909,1023,2857,3951,1094,-1815,-2,-1813,"Jacksonville, NC (Metropolitan Statistical Area)",8436348000,8155742000,186892,196915,-280606000,1.05362990390172,0.966738451282474
"173"," Janesville"," WI","  Midwest"," RED",3029,4270,17881,13611,-1131,397,-1528,480,406,1877,1471,81,39,42,"Janesville-Beloit, WI (Metropolitan Statistical Area)",5817471000,7013004000,160260,162874,1195533000,1.01631099463372,1.20550734159225
"174"," Jefferson City"," MO","  Midwest"," RED",1415,4291,16332,12041,-2813,962,-3775,-277,264,1680,1416,-540,88,-628,"Jefferson City, MO (Metropolitan Statistical Area)",6595308000,6682865000,149991,151512,87557000,1.01014060843651,1.01327564990141
"175"," Johnson City"," TN","  South"," RED",4892,-3314,18323,21637,8285,1307,6978,749,-537,1869,2406,1291,200,1091,"Johnson City, TN (Metropolitan Statistical Area)",6217556000,6981674000,199010,202900,764118000,1.0195467564444,1.1228968424249
"176"," Johnstown"," PA","  Northeast"," RED",-13503,-4708,12304,17012,-8837,384,-9221,-1257,-509,1218,1727,-745,29,-774,"Johnstown, PA (Metropolitan Statistical Area)",4764548000,4550684000,143461,131449,-213864000,0.916269927018493,0.955113475611957
"177"," Jonesboro"," AR","  South"," RED",12841,4763,16354,11591,8072,1239,6833,1141,402,1766,1364,739,43,696,"Jonesboro, AR (Metropolitan Statistical Area)",4337626000,4587993000,121263,132719,250367000,1.09447234523309,1.05771982185647
"178"," Joplin"," MO","  Midwest"," RED",4055,5310,22013,16703,-1152,1212,-2364,951,424,2235,1811,532,106,426,"Joplin, MO (Metropolitan Statistical Area)",6563466000,7015093000,175833,178613,451627000,1.01581045651271,1.06880922366323
"179"," Kahului"," HI","  West"," BLUE",12577,7138,18012,10874,5518,6138,-620,445,388,1834,1446,65,582,-517,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",7504598000,9345639000,155020,166972,1841041000,1.07709972906722,1.24532173475515
"180"," Kalamazoo"," MI","  Midwest"," RED",14739,9446,28774,19328,5485,4483,1002,386,801,3010,2209,-412,303,-715,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",10798629000,12530386000,250751,264680,1731757000,1.05554913041224,1.16036822822601
"181"," Kankakee"," IL","  Midwest"," BLUE",-3588,1946,12271,10325,-5547,530,-6077,-91,73,1240,1167,-163,29,-192,"Kankakee, IL (Metropolitan Statistical Area)",4145461000,4370611000,113418,109953,225150000,0.969449293762895,1.05431241543462
"182"," Kansas City"," MO","  Midwest"," RED",148635,98218,253384,155166,51716,27259,24457,13563,8805,26497,17692,4814,2377,2437,"Kansas City, MO-KS (Metropolitan Statistical Area)",104035356000,120352988000,2013361,2144427,16317632000,1.06509811206237,1.15684698574973
"183"," Kennewick"," WA","  West"," BLUE",46284,23159,39288,16129,23058,3571,19487,4323,2224,4151,1927,2100,316,1784,"Kennewick-Richland, WA (Metropolitan Statistical Area)",12751790000,13934458000,255542,295289,1182668000,1.15553998951249,1.09274525380358
